SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
101032560039_R01C01,15.6197987,,0,0.263017085,0.010301137,0.981589144,Male,0.307934778
101032560039_R01C02,0.204818177,,0,0.262658168,0.011004192,0.980740041,Female,0.445882323
101032560039_R02C01,5.624896819,,0,0.26888373,0.009535194,0.982571452,Male,0.321329944
101032560039_R02C02,4.231860131, WARNING: meanMethBySample is < 0.25,0,0.232091481,0.009174932,0.982127022,Male,0.265299696
101032560039_R03C01,14.44481051,,0,0.267294399,0.009140921,0.983402878,Female,0.458071318
101032560039_R03C02,3.77274675,,0,0.260513083,0.009539241,0.982894684,Male,0.309040498
101032560039_R04C01,3.008561524,,0,0.270798017,0.010455876,0.983796689,Female,0.473981459
101032560039_R04C02,5.848433649,,0,0.262603274,0.009758868,0.983795524,Female,0.452632572
101032560039_R05C01,18.79078572,,0,0.26710937,0.008945415,0.984129081,Male,0.32028457
101032560039_R05C02,0.051244548,,0,0.265452318,0.00983,0.983955276,Female,0.472354016
101032560039_R06C01,5.862222798,,0,0.270610521,0.008253093,0.984083311,Female,0.479725321
101032560039_R06C02,0.244198526,,0,0.256319059,0.007020099,0.987834518,Male,0.312498173
101032560089_R01C01,2.966282762,,0,0.26714133,0.010807097,0.980240058,Male,0.318806673
101032560089_R02C01,0.86407717,,0,0.27344888,0.009984482,0.982020856,Female,0.483891673
101032560089_R03C01,0.059201536,,0,0.264030138,0.010052177,0.982431765,Male,0.312302934
101032560089_R04C01,0.028462144,,0,0.276522325,0.010589875,0.982820007,Female,0.479952579
101032560089_R05C01,0.16785508,,0,0.270830832,0.009445559,0.984584327,Male,0.325209852
101032560089_R06C01,13.96937513,,0,0.259533295,0.009075948,0.98472819,Female,0.454065311
101178130036_R01C01,42.69659356,,0,0.271097994,0.009548481,0.981805366,Male,0.321465669
101178130036_R01C02,8.103173952,,0,0.259861725,0.009081401,0.982662019,Male,0.312290483
101178130036_R02C01,28.25654272,,0,0.261286736,0.010499404,0.981354455,Male,0.314799578
101178130036_R02C02,54.3236723,,0,0.256283069,0.009859655,0.981415237,Male,0.31090633
101178130036_R03C01,32.06890408,,0,0.264022072,0.010073443,0.982532489,Female,0.464083096
101178130036_R04C01,10.07007313,,0,0.261017673,0.010075752,0.982885102,Male,0.314998228
101178130036_R05C01,38.067533,,0,0.26237832,0.010633841,0.982620942,Female,0.448049953
101178130036_R06C01,3.619189097,,0,0.275415548,0.010983813,0.984434521,Male,0.331004433
101231000136_R01C01,6.140735164,,0,0.27368877,0.010931799,0.981571056,Male,0.329302052
101231000136_R01C02,6.220310158,,0,0.271851932,0.010072882,0.9812155,Male,0.327024831
101231000136_R02C01,9.583170543,,0,0.271138669,0.010404502,0.982945158,Male,0.326716187
101231000136_R02C02,6.142242095,,0,0.275682059,0.011224234,0.981614779,Female,0.483824312
101231000136_R03C01,6.968560913,,0,0.272526942,0.009274775,0.983434688,Male,0.326175993
101231000136_R03C02,6.567670497,,0,0.273311565,0.010743253,0.98331246,Male,0.328531126
101231000136_R04C01,14.31358617,,0,0.276541143,0.0099848,0.984645643,Male,0.331512004
101231000136_R04C02,12.27026123,,0,0.275654524,0.009852344,0.983262201,Male,0.329658529
101231000136_R05C01,6.94393919,,0,0.279603577,0.008791444,0.985715462,Male,0.334656506
101231000136_R05C02,8.650806606,,0,0.27723356,0.009915459,0.985452397,Male,0.333016665
101231000136_R06C01,7.317983055,,0,0.26666839,0.009228735,0.983152943,Male,0.316043455
101231000136_R06C02,14.85345617,,0,0.273142194,0.01078844,0.98379861,Male,0.326636804
101231000142_R01C01,9.205655811,,0,0.263615576,0.010625978,0.980775909,Female,0.46320531
101231000142_R01C02,5.526369466,,0,0.26901838,0.010406367,0.979859278,Female,0.45120162
101231000142_R02C01,9.766971793,,0,0.269665822,0.010035636,0.982599277,Male,0.325531922
101231000142_R02C02,2.51325414,,0,0.267340853,0.010728374,0.98258396,Male,0.325535673
101231000142_R03C01,15.21728546,,0,0.265056871,0.010211223,0.982540838,Female,0.462888915
101231000142_R03C02,10.15166931,,0,0.267744774,0.009771137,0.982649813,Female,0.466204623
101231000142_R04C01,0.745338179,,0,0.272868952,0.009844565,0.982245466,Female,0.459937286
101231000142_R04C02,13.37867611,,0,0.272707502,0.009432885,0.982661624,Female,0.4675141
101231000142_R05C01,2.211218205,,0,0.281966243,0.010162075,0.983342246,Male,0.337089938
101231000142_R05C02,3.752004426,,0,0.275241567,0.010115223,0.983703082,Female,0.45063727
101231000142_R06C01,30.3375233,,0,0.269517793,0.009975048,0.984450362,Male,0.324556245
101231000142_R06C02,-0.105522396,Negative DNAm age,0,0.264659573,0.008784158,0.985187642,Female,0.457523755
101231000151_R01C01,9.28874042,,0,0.268687375,0.011375626,0.981367645,Male,0.323410193
