title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	description.1	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	supplementary_file.1	data_row_count	season:ch1	Sex:ch1	tissue:ch1
200251580130_R01C01	GSM2656171	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: M	season: NA	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656171/suppl/GSM2656171_200251580130_R01C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656171/suppl/GSM2656171_200251580130_R01C01_Red.idat.gz	0	NA	M	blood
200251580130_R01C02	GSM2656172	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: F	season: dry	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656172/suppl/GSM2656172_200251580130_R01C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656172/suppl/GSM2656172_200251580130_R01C02_Red.idat.gz	0	dry	F	blood
200251580130_R02C01	GSM2656173	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: F	season: rainy	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656173/suppl/GSM2656173_200251580130_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656173/suppl/GSM2656173_200251580130_R02C01_Red.idat.gz	0	rainy	F	blood
200251580130_R02C02	GSM2656174	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: M	season: dry	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656174/suppl/GSM2656174_200251580130_R02C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656174/suppl/GSM2656174_200251580130_R02C02_Red.idat.gz	0	dry	M	blood
200251580130_R03C01	GSM2656175	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: F	season: rainy	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656175/suppl/GSM2656175_200251580130_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656175/suppl/GSM2656175_200251580130_R03C01_Red.idat.gz	0	rainy	F	blood
200251580130_R03C02	GSM2656176	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: M	season: NA	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656176/suppl/GSM2656176_200251580130_R03C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656176/suppl/GSM2656176_200251580130_R03C02_Red.idat.gz	0	NA	M	blood
200251580130_R04C01	GSM2656177	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: F	season: rainy	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656177/suppl/GSM2656177_200251580130_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656177/suppl/GSM2656177_200251580130_R04C01_Red.idat.gz	0	rainy	F	blood
200251580130_R04C02	GSM2656178	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: M	season: NA	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656178/suppl/GSM2656178_200251580130_R04C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656178/suppl/GSM2656178_200251580130_R04C02_Red.idat.gz	0	NA	M	blood
200251580130_R05C01	GSM2656179	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: M	season: dry	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656179/suppl/GSM2656179_200251580130_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656179/suppl/GSM2656179_200251580130_R05C01_Red.idat.gz	0	dry	M	blood
200251580130_R05C02	GSM2656180	Public on Nov 23 2017	Jun 09 2017	Jan 23 2018	genomic	1	blood	Homo sapiens	tissue: blood	Sex: M	season: rainy	genomic DNA	genomic DNA was extracted and purified from blood samples by desalting, proteinase K digestion, and ammonium acetate precipitation	Cy5 and Cy3	Standard Illumina Protocol	9606	bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium HumanMethylation 450k Beadchip using standard Illumina protocol	Arrays were imaged using iScan with standard recommended Illumina scanner settings	sample	genomic DNA from peripheral blood	GenomeStudio and R/Bioconductor packages. The raw data are available on the series level in the file GSE_betas_raw.csv and includes unmethylated and methylated signal intensities	GPL13534	Ayden,,Saffari	ayden.saffari@lshtm.ac.uk	MRC International Nutrition Group	London School of Hygiene & Tropical Medicine, Keppel Street	London	WC1E 7HT	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656180/suppl/GSM2656180_200251580130_R05C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2656nnn/GSM2656180/suppl/GSM2656180_200251580130_R05C02_Red.idat.gz	0	rainy	M	blood
