title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	characteristics_ch1.5	treatment_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	description.1	description.2	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	supplementary_file.1	data_row_count	b cell (%):ch1	cd4+ t cell (%):ch1	cd8+ t cell (%):ch1	granulocyte (%):ch1	monocyte (%):ch1	natural killer cell (%):ch1
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131145_R03C02]	GSM2059592	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 13	cd8+ t cell (%): 11	b cell (%): 16	natural killer cell (%): 12	monocyte (%): 23	granulocyte (%): 25	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131145_R03C02	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 1	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059592/suppl/GSM2059592_9985131145_R03C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059592/suppl/GSM2059592_9985131145_R03C02_Red.idat.gz	485512	16	13	11	25	23	12
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131145_R02C01]	GSM2059593	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 7	cd8+ t cell (%): 19	b cell (%): 19	natural killer cell (%): 15	monocyte (%): 19	granulocyte (%): 21	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131145_R02C01	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 2	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059593/suppl/GSM2059593_9985131145_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059593/suppl/GSM2059593_9985131145_R02C01_Red.idat.gz	485512	19	7	19	21	19	15
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131145_R05C01]	GSM2059594	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 6	cd8+ t cell (%): 33	b cell (%): 8	natural killer cell (%): 11	monocyte (%): 19	granulocyte (%): 23	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131145_R05C01	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 3	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059594/suppl/GSM2059594_9985131145_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059594/suppl/GSM2059594_9985131145_R05C01_Red.idat.gz	485512	8	6	33	23	19	11
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131146_R02C01]	GSM2059595	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 16	cd8+ t cell (%): 29	b cell (%): 7	natural killer cell (%): 15	monocyte (%): 22	granulocyte (%): 11	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131146_R02C01	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 4	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059595/suppl/GSM2059595_9985131146_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059595/suppl/GSM2059595_9985131146_R02C01_Red.idat.gz	485512	7	16	29	11	22	15
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131137_R04C02]	GSM2059596	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 11	cd8+ t cell (%): 20	b cell (%): 20	natural killer cell (%): 22	monocyte (%): 10	granulocyte (%): 17	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131137_R04C02	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 5	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059596/suppl/GSM2059596_9985131137_R04C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059596/suppl/GSM2059596_9985131137_R04C02_Red.idat.gz	485512	20	11	20	17	10	22
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131146_R05C01]	GSM2059597	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 18	cd8+ t cell (%): 13	b cell (%): 26	natural killer cell (%): 15	monocyte (%): 22	granulocyte (%): 6	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131146_R05C01	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 6	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059597/suppl/GSM2059597_9985131146_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059597/suppl/GSM2059597_9985131146_R05C01_Red.idat.gz	485512	26	18	13	6	22	15
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131146_R06C01]	GSM2059598	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 13	cd8+ t cell (%): 2	b cell (%): 1	natural killer cell (%): 4	monocyte (%): 5	granulocyte (%): 75	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131146_R06C01	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 7	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059598/suppl/GSM2059598_9985131146_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059598/suppl/GSM2059598_9985131146_R06C01_Red.idat.gz	485512	1	13	2	75	5	4
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131145_R06C02]	GSM2059599	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 16	cd8+ t cell (%): 11	b cell (%): 1	natural killer cell (%): 2	monocyte (%): 7	granulocyte (%): 63	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131145_R06C02	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 8	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059599/suppl/GSM2059599_9985131145_R06C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059599/suppl/GSM2059599_9985131145_R06C02_Red.idat.gz	485512	1	16	11	63	7	2
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131146_R01C02]	GSM2059600	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 9	cd8+ t cell (%): 6	b cell (%): 2	natural killer cell (%): 0	monocyte (%): 10	granulocyte (%): 73	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131146_R01C02	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 9	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059600/suppl/GSM2059600_9985131146_R01C02_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059600/suppl/GSM2059600_9985131146_R01C02_Red.idat.gz	485512	2	9	6	73	10	0
Genomic DNA from a reconstructed mixture of purified human leukocytes  [9985131137_R04C01]	GSM2059601	Public on Feb 12 2016	Feb 10 2016	Feb 12 2016	genomic	1	Reconstructed mixture of purified human leukocytes	Homo sapiens	cd4+ t cell (%): 14	cd8+ t cell (%): 8	b cell (%): 2	natural killer cell (%): 3	monocyte (%): 6	granulocyte (%): 67	Leukocyte subtypes were purified via magnetic activated cell sorting (MACS) using kits from Miltenyi Biotec; venous whole blood was collected into Heparin	genomic DNA	Genomic DNA was extracted using QIAGEN Dneasy blood and tissue kit according to standard instructions	Cy5 and Cy3	Standard Illumina Protocol	9606	Bisulphite converted DNA was amplified, fragmented and hybridized to Illumina Infinium HumanMethylation450 Beadchip using standard Illumina protocol	Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting	X9985131137_R04C01	DNA methylation profiling across mixture of white blood cell (WBC) types	SAMPLE 10	Unmethylated and methylated signal intensities were generated using the publicly available, minfi Bioconductor package.  Data processing of these data was also carried out using the minfi Bioconductor package and included: background subtraction and normalization utilizing the various internal controls present on the Illumina Infinium Methylation450 BeadChip and Subset quantile within array-normalization (SWAN) to adjust the beta-values of type 2 design probes into a statistical distribution characteristic of type 1 probes.	GPL13534	Devin,Charles,Koestler	dkoestler@kumc.edu	9135884788	Biostatistics	University of Kansas Medical Center	3901 Rainbow Blvd.	Kansas City	KS	66160	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059601/suppl/GSM2059601_9985131137_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2059nnn/GSM2059601/suppl/GSM2059601_9985131137_R04C01_Red.idat.gz	485512	2	14	8	67	6	3
