SampleID,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,predictedGender,meanXchromosome
3999941035_R01C01,8.885229633, WARNING: meanMethBySample is < 0.25,0,0.240447339,0,0.99224966,Unsure,0.38463571
3999941035_R02C01,20.95796937, WARNING: meanMethBySample is < 0.25,0,0.2490512,0.003071786,0.988909587,Male,0.297571373
3999941035_R03C01,61.43156783,,0,0.254023322,0,0.988301219,Male,0.301635658
3998568164_R01C02,5.083300187, WARNING: meanMethBySample is < 0.25,0,0.236461039,0.006744853,0.981173759,Male,0.28431348
3998568164_R02C01,6.830303745, WARNING: meanMethBySample is < 0.25,0,0.239712163,0,0.982727698,Unsure,0.389355758
3998568164_R02C02,25.3103223, WARNING: meanMethBySample is < 0.25,0,0.235953133,0,0.990700109,Unsure,0.384177997
3998568164_R03C01,4.435670958, WARNING: meanMethBySample is < 0.25,0,0.246258264,0.004604672,0.99079118,Male,0.294915362
3998568164_R03C02,6.228122718, WARNING: meanMethBySample is < 0.25,0,0.242627573,0,0.989096573,Male,0.287547435
3998568164_R04C01,1.820890349,,0,0.256509815,0,0.980675408,Male,0.304975028
3998568164_R04C02,3.141757591,,0,0.25148626,0,0.985684392,Unsure,0.39627531
3998568164_R05C01,10.41959633,,0,0.251461603,0,0.970693646,Unsure,0.393383591
3998568164_R05C02,21.91864757, WARNING: meanMethBySample is < 0.25,0,0.242718768,0,0.984484124,Unsure,0.396679357
3998568164_R06C01,7.013350327,,0,0.253930935,0.009301287,0.987090667,Female,0.407881491
3998568164_R06C02,38.06193216, WARNING: meanMethBySample is < 0.25,0,0.244301047,0,0.985641227,Male,0.2918601
9297949061_R01C01,26.54049304,,0,0.270788305,0,0.974856004,Male,0.316699088
9297949061_R01C02,25.54076943,,0,0.274525261,0.004943108,0.981890901,Male,0.319954302
9297949061_R03C01,29.68662394,,0,0.272125994,0.001826332,0.980082676,Male,0.322975917
9297949061_R03C02,23.3457747,,0,0.28271503,0.004639059,0.976212951,Male,0.329017436
9297949061_R05C01,22.44360816,,0,0.29638535,0,0.981320108,Male,0.347895002
9297949061_R05C02,30.09580938,,0,0.303487601,0.001862915,0.983821837,Male,0.352476766
9297949140_R01C02,14.03481573,,0,0.263211029,0,0.991741405,Male,0.316128364
9297949140_R03C02,12.77873085,,0,0.262616002,0,0.992062596,Male,0.315565389
9297949140_R05C01,13.0260937,,0,0.2615376,0.003625577,0.989418306,Male,0.314264577
9297949140_R05C02,15.2083256,,0,0.267912229,0,0.989631336,Male,0.319843494
9297949145_R01C01,18.91593911,,0,0.282146379,0.001019442,0.991484494,Male,0.335616666
9297949145_R01C02,14.90792632,,0,0.289642176,0,0.985266807,Male,0.341272058
9297949145_R03C01,13.82382101,,0,0.277283337,0,0.995517504,Male,0.331405643
9297949145_R03C02,26.83273679,,0,0.28644425,0,0.990930244,Male,0.338718686
9297949145_R05C01,19.60258526,,0,0.27166443,0,0.991570468,Male,0.325528636
9297949145_R05C02,17.43803465,,0,0.268783679,0.000766675,0.991297958,Male,0.320977711
9297949151_R01C01,17.06621253,,0,0.293405662,0.003298516,0.980693006,Male,0.342737543
9297949151_R01C02,11.53833942,,0,0.275421625,0,0.987769165,Male,0.325826761
9297949151_R03C01,17.87386028,,0,0.259783102,0,0.991773309,Male,0.312674956
9297949151_R03C02,16.9637861,,0,0.276072354,0,0.994709238,Male,0.328302074
9297949151_R05C01,18.02911355,,0,0.268910064,0.001656256,0.990551947,Male,0.32152612
9297949151_R05C02,18.24218189,,0,0.275203228,0,0.987998774,Male,0.328206338
9376537037_R01C01,9.324179997,,0,0.274246374,0.000904754,0.990060861,Male,0.325680873
9376537037_R01C02,7.839151999,,0,0.27382869,0,0.985705435,Male,0.325700186
9376537037_R03C01,8.796413086,,0,0.28663407,0,0.988828815,Male,0.338424432
9376537037_R03C02,7.320299484,,0,0.286979556,0.000643874,0.990083529,Male,0.34036943
9376537037_R05C01,7.676279517,,0,0.298779851,0.002553191,0.990780578,Male,0.351799008
9376537037_R05C02,7.189217116,,0,0.29336425,0,0.988820522,Male,0.345860578
9829118108_R01C01,13.41761429,,0,0.266960646,0,0.990660267,Male,0.318172512
9829118108_R01C02,13.40150778,,0,0.28568677,0.000952305,0.98606466,Male,0.335745675
9829118108_R03C01,8.529165548,,0,0.277591581,0,0.993286428,Male,0.329884621
9829118108_R03C02,10.26598033,,0,0.283439262,0,0.989040737,Male,0.334560787
