SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
101032560039_R01C01,10.52047097,10.7380718,11.996212,11.85160007,M,PASS
101032560039_R01C02,10.96780863,10.85409272,12.73975458,8.265476182,F,PASS
101032560039_R02C01,10.95716153,10.94364622,12.19887471,12.15114598,M,PASS
101032560039_R02C02,10.03367821,11.28458645,12.10224852,12.02588758,M,PASS
101032560039_R03C01,11.18438067,11.06635846,12.94312562,8.365296212,F,PASS
101032560039_R03C02,10.90739054,11.06432536,12.3849538,12.25836954,M,PASS
101032560039_R04C01,11.30842975,11.15099512,13.06596564,8.543690686,F,PASS
101032560039_R04C02,11.07859131,11.1455064,13.03519111,8.562625126,F,PASS
101032560039_R05C01,11.46742706,11.31435884,12.61249053,12.68307951,M,PASS
101032560039_R05C02,11.35442857,11.20451534,13.18060186,8.611382812,F,PASS
101032560039_R06C01,11.30975723,11.18827535,13.13291225,8.562341807,F,PASS
101032560039_R06C02,10.8535742,10.95782679,12.43738743,12.50492065,M,PASS
101032560089_R01C01,10.9836392,10.85671854,12.19732816,12.18523883,M,PASS
101032560089_R02C01,11.2883885,10.85275996,12.96846265,8.397998172,F,PASS
101032560089_R03C01,10.84137529,10.97762739,12.35670068,12.29703631,M,PASS
101032560089_R04C01,11.46926931,11.0396433,13.12379549,8.59154079,F,PASS
101032560089_R05C01,11.43948984,11.1912586,12.59775744,12.5953093,M,PASS
101032560089_R06C01,10.93469018,11.18292468,13.04461035,8.671200764,F,PASS
101178130036_R01C01,11.33667563,11.0801331,12.23545768,12.38527693,M,PASS
101178130036_R01C02,11.18004978,11.07635654,12.29602769,12.39484327,M,PASS
101178130036_R02C01,11.60772479,11.33784389,12.5099026,12.64716498,M,PASS
101178130036_R02C02,11.65887253,11.45956024,12.57792659,12.69113736,M,PASS
101178130036_R03C01,11.79681438,11.43636325,13.17865637,8.29231473,F,PASS
101178130036_R04C01,11.84057744,11.58457995,12.8030523,12.88229116,M,PASS
101178130036_R05C01,11.70626898,11.65200318,13.38239669,8.885804306,F,PASS
101178130036_R06C01,12.10168277,11.60441638,12.91660467,13.02561183,M,PASS
101231000136_R01C01,11.86391939,11.23709101,12.40883146,12.58985516,M,PASS
101231000136_R01C02,11.67815037,11.2190881,12.48620332,12.5987212,M,PASS
101231000136_R02C01,11.9727173,11.45664026,12.66364516,12.77523283,M,PASS
101231000136_R02C02,11.68915717,11.24385979,13.14487672,8.499679156,F,PASS
101231000136_R03C01,11.76105906,11.35141227,12.66269789,12.79664749,M,PASS
101231000136_R03C02,11.92132818,11.47044446,12.74996526,12.90673083,M,PASS
101231000136_R04C01,12.14598866,11.57477163,12.84816894,12.97386537,M,PASS
101231000136_R04C02,11.8030665,11.47548143,12.8344598,12.8846132,M,PASS
101231000136_R05C01,12.2757989,11.669219,12.92679558,13.04929405,M,PASS
101231000136_R05C02,12.12379023,11.62191381,12.91807027,13.0383712,M,PASS
101231000136_R06C01,11.4788959,11.46292873,12.8741109,12.98569631,M,PASS
101231000136_R06C02,11.73842466,11.4828881,12.87504231,12.94429286,M,PASS
101231000142_R01C01,11.36498783,11.17792539,12.99683491,8.399127687,F,PASS
101231000142_R01C02,11.39638297,11.1185684,12.9591065,8.338024671,F,PASS
101231000142_R02C01,11.59905515,11.32769317,12.64094526,12.68009355,M,PASS
101231000142_R02C02,11.52617916,11.35501288,12.65916138,12.70566213,M,PASS
