SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
GSM3227759,11.1242663272122,10.629751820342,11.9283731830137,12.1101729715137,M,PASS
GSM3227760,11.3933229781935,11.0680399999674,12.9054664644938,8.10290520959886,F,PASS
GSM3227768,11.050993845646,10.8511511705432,12.0239784786819,12.2009949817032,M,PASS
GSM3227769,11.28860134494,10.7176647415601,12.7011640656429,8.0279735806865,F,PASS
GSM3227770,11.2866922663068,10.8363412824693,12.8018533168682,8.20505196928553,F,PASS
GSM3227771,11.2979602230276,10.9716630626156,12.8249764301496,8.16777449511028,F,PASS
GSM3227772,11.3816650943842,11.004675116894,12.2406533113239,12.3797761381748,M,PASS
GSM3227773,11.4286623860786,11.0130966923382,12.2896327158672,12.4641093066418,M,PASS
GSM3227785,11.3689062585046,10.8006228354375,12.5736702605963,7.68806362777974,F,PASS
GSM3227797,11.3404961787508,10.8923503227337,12.7598664957337,8.04874378940987,F,PASS
GSM3227798,11.3019487222478,11.0244787624359,12.2100456402826,12.3295341589428,M,PASS
GSM3227757,11.3168990206386,10.8274148132169,12.7378537254038,7.92238743852918,F,PASS
GSM3227758,11.104233391372,10.6809278394672,12.6151508861489,7.92290478409524,F,PASS
GSM3227765,11.1278066532428,10.7714780232614,12.0880281748585,12.2290630957232,M,PASS
GSM3227766,11.2854343039873,10.9346318286681,12.1737920448001,12.3109350696045,M,PASS
GSM3227767,10.956290693398,10.6824978565816,11.8876836129916,12.0288345589514,M,PASS
GSM3227780,11.2562834498751,10.7246416085209,11.9604810552581,12.1514189061686,M,PASS
GSM3227790,11.0708736010342,10.6131240845338,12.4934064259786,7.76491882638423,F,PASS
GSM3227791,11.1315574574919,10.6714928186522,11.9379913920054,12.1346443920307,M,PASS
GSM3227792,11.2730323159521,10.9287301253566,12.7599678294606,7.93003047597066,F,PASS
GSM3227795,11.1651090554259,10.8093037813071,12.6682298951675,7.98291287157596,F,PASS
GSM3227796,11.2400821104467,10.9247004491469,12.1420040382943,12.2708308084205,M,PASS
GSM3227755,11.1208429667344,10.8137281438239,12.0722569856776,12.2100045811177,M,PASS
GSM3227756,11.1300373022259,10.5907239743839,11.9088017822754,12.166974940277,M,PASS
GSM3227764,11.1625836717719,10.783130788433,12.5867971084331,7.83500783687567,F,PASS
GSM3227775,11.347049624,10.8751221107156,12.7501308983994,7.95300787452459,F,PASS
GSM3227777,11.1486435151917,10.7187577605378,11.9617615911085,12.105886183582,M,PASS
GSM3227786,11.3202090682825,10.9392763536949,12.1659031548663,12.3282010538458,M,PASS
GSM3227787,11.407517200118,11.0219085999868,12.2096021545378,12.3698181307338,M,PASS
GSM3227788,11.3596471823906,10.9929660328122,12.8615076255132,8.14475200920953,F,PASS
GSM3227789,11.0966560369354,10.7678670463604,12.6708707540936,8.07748403519584,F,PASS
GSM3227793,11.1780631117812,10.7836687378658,12.6528299286079,7.94660471168124,F,PASS
GSM3227794,11.2189719763864,10.8859942467342,12.1360771276069,12.2736575907934,M,PASS
GSM3227761,11.5795531368345,11.24095099597,12.3900210210835,12.5273893414764,M,PASS
GSM3227762,11.5093096528303,10.9622502208157,12.8918407217312,8.1370962903262,F,PASS
GSM3227763,10.8721285189315,10.6628156213118,11.9608127503947,12.1401665591371,M,PASS
GSM3227774,11.1152883250288,10.9225295194895,12.0434003659854,12.1980161948963,M,PASS
GSM3227776,11.3446311686856,11.1365963171682,12.2412304243984,12.3848709058665,M,PASS
GSM3227778,11.4478553717668,11.0859450801767,12.3201998233805,12.4655745157017,M,PASS
GSM3227779,11.7144929010038,11.0770700820499,12.9672586865351,8.12447630025826,F,PASS
GSM3227781,11.7977479638381,11.2340449226846,13.0796743033533,8.11269832514553,F,PASS
GSM3227782,11.2484762697484,10.8661102472303,12.0232027876412,12.1967692853635,M,PASS
GSM3227783,11.4343980359571,10.9479979136769,12.7578182144926,7.98951098746667,F,PASS
GSM3227784,11.5416699465625,11.1779060612716,12.3367585868087,12.4662720039943,M,PASS
