SampleID,mMed,uMed,xMed,yMed,predictedSexQC,BMIQ
GSM1338100,11.5099647664806,11.4751204618055,12.7183763629599,12.8282736073896,M,PASS
GSM1338101,11.3851346946644,11.3586039195637,13.2966707506272,8.61620595256067,F,PASS
GSM1338102,12.0436331455272,11.6674692341625,12.8818207107926,13.0242956107646,M,PASS
GSM1338103,11.9458064554532,11.5194789931665,12.8628378395495,13.0266227794782,M,PASS
GSM1338104,12.0824985227763,11.8297487814951,12.9979333708718,13.1717081034616,M,PASS
GSM1338105,12.1866763013282,11.7226132497105,13.0167263458071,13.1617059820819,M,PASS
GSM1338106,12.2156920444652,11.7044757188926,13.0574625381057,13.2032304558826,M,PASS
GSM1338107,12.3854683171711,11.905579972998,13.7285530572824,8.87998891799037,F,PASS
GSM1338108,12.240982014306,11.7628302066915,13.6872933897302,8.91578122104002,F,PASS
GSM1338109,12.3089742944199,11.8594647979115,13.7562623651122,9.0060917685405,F,PASS
GSM1338110,12.2207837832453,11.8037835350753,13.1368008022462,13.2743076655665,M,PASS
GSM1338111,12.3691837878113,11.92472158587,13.7941241700108,8.97581414849193,F,PASS
GSM1338112,11.6653403170828,11.3636218391278,12.5972770432538,12.7329261699678,M,PASS
GSM1338113,11.6208578072437,11.4103434833741,12.5748533932576,12.7150755492692,M,PASS
GSM1338114,11.8456792542654,11.495451707064,13.2434092338179,8.49217774229164,F,PASS
GSM1338115,11.688196478139,11.7975811744046,13.2718175993844,8.45487465612523,F,PASS
GSM1338116,11.9410323056685,11.5746977689515,12.8349383149336,12.9784805618312,M,PASS
GSM1338117,12.0002673723114,11.4973914501014,13.4324887658666,8.59817206347839,F,PASS
GSM1338118,11.966728238809,11.5792939288634,12.8642351087715,12.9911330613563,M,PASS
GSM1338119,12.0754345940312,11.6441680361652,13.5464708662915,8.74025949103667,F,PASS
GSM1338120,11.924353406582,11.557338800482,13.474811540199,8.76976302174899,F,PASS
GSM1338121,12.046316272824,11.7817781024773,12.975646253848,13.133326019087,M,PASS
GSM1338122,11.9732597424232,11.5453976577583,12.9118112789362,13.0243921958855,M,PASS
GSM1338123,12.1743010673421,11.7389409481848,13.5753411239206,8.73865217851125,F,PASS
