ControlAddress,ControlChannel,ControlType,GSM1338100_6057825094_R01C01,GSM1338101_6057825094_R01C02,GSM1338102_6057825094_R02C01,GSM1338103_6057825094_R02C02,GSM1338104_6057825094_R03C01,GSM1338105_6057825094_R03C02,GSM1338106_6057825094_R04C01,GSM1338107_6057825094_R04C02,GSM1338108_6057825094_R05C01,GSM1338109_6057825094_R05C02,GSM1338110_6057825094_R06C01,GSM1338111_6057825094_R06C02,GSM1338112_6057825116_R01C01,GSM1338113_6057825116_R01C02,GSM1338114_6057825116_R02C01,GSM1338115_6057825116_R02C02,GSM1338116_6057825116_R03C01,GSM1338117_6057825116_R03C02,GSM1338118_6057825116_R04C01,GSM1338119_6057825116_R04C02,GSM1338120_6057825116_R05C01,GSM1338121_6057825116_R05C02,GSM1338122_6057825116_R06C01,GSM1338123_6057825116_R06C02
10627500,Grn,NEGATIVE,202,229,322,383,560,422,426,241,483,614,555,588,287,283,320,339,391,372,404,494,538,511,509,460
10627500,Red,NEGATIVE,132,172,245,285,211,225,250,272,365,421,360,363,204,146,216,235,185,239,229,287,254,307,300,353
10673427,Grn,SPECIFICITY I,6802,6098,8263,7587,8922,8763,9601,9823,9772,9845,10301,10541,5924,6466,7304,7284,7824,7969,8193,8190,7891,8973,8530,9777
10673427,Red,SPECIFICITY I,242,266,384,429,378,388,402,399,379,493,454,544,310,256,300,385,303,342,356,429,350,392,412,553
10714330,Grn,NORM_T,421,443,436,630,587,764,531,514,916,740,641,643,349,352,453,432,547,546,546,642,696,560,744,808
10714330,Red,NORM_T,2671,2312,3742,3902,3991,3953,3996,3720,3743,3409,3705,3890,2439,2061,2947,3037,3164,3273,3370,3553,2806,2806,2665,3361
10721502,Grn,NEGATIVE,284,171,310,299,450,481,565,643,566,469,475,446,135,228,222,286,372,312,150,415,429,513,489,566
10721502,Red,NEGATIVE,165,156,223,214,234,202,162,217,305,282,213,273,172,131,142,63,83,189,157,214,226,260,227,256
10731326,Grn,NEGATIVE,326,247,315,339,539,475,426,524,820,520,681,593,267,391,318,332,415,517,426,581,552,476,537,584
10731326,Red,NEGATIVE,145,146,172,201,148,176,195,160,251,222,325,286,167,167,118,112,116,208,148,243,246,240,204,308
10732387,Grn,NEGATIVE,352,326,419,500,253,477,297,523,381,449,158,814,373,409,382,170,476,306,411,503,357,465,676,573
10732387,Red,NEGATIVE,199,113,107,190,185,153,141,129,203,284,192,401,75,97,118,179,117,143,180,179,250,257,234,353
10744385,Grn,NEGATIVE,291,175,509,498,380,290,279,643,537,526,468,428,202,374,469,274,299,220,339,599,470,399,388,654
10744385,Red,NEGATIVE,181,137,200,171,177,125,99,207,191,276,283,316,129,153,140,164,134,267,111,192,215,283,276,283
10760363,Grn,NEGATIVE,161,282,451,461,421,559,423,605,655,451,399,369,245,176,356,386,193,508,331,426,498,510,428,680
10760363,Red,NEGATIVE,229,156,192,212,201,138,169,187,210,259,314,342,200,171,181,208,136,268,128,260,262,218,272,284
10766300,Grn,NEGATIVE,282,433,238,261,241,425,480,463,621,683,423,529,300,198,222,277,157,416,475,448,524,730,509,754
10766300,Red,NEGATIVE,152,201,180,220,190,214,158,196,182,305,261,319,130,166,115,176,138,159,149,259,261,211,175,297
10804473,Grn,NORM_G,5680,5845,8041,7502,7805,7703,8979,9393,9541,9527,8161,10420,6193,6163,6784,6786,7823,7385,8335,7866,8002,8209,8022,8298
10804473,Red,NORM_G,367,355,480,494,397,401,471,546,591,533,620,530,332,316,365,410,351,473,327,477,382,419,475,618
10806301,Grn,NEGATIVE,505,545,488,392,452,515,568,450,581,415,391,339,131,446,414,452,380,364,158,474,673,480,779,710
10806301,Red,NEGATIVE,127,144,152,260,197,209,116,202,262,316,173,327,131,170,108,167,80,177,161,207,254,244,225,313
11634395,Grn,NEGATIVE,171,336,485,223,530,421,446,527,580,448,557,572,294,377,362,167,452,201,450,378,560,517,323,504
11634395,Red,NEGATIVE,195,157,269,201,153,219,202,232,236,335,269,307,142,146,179,208,91,200,186,270,164,228,194,299
11641439,Grn,NORM_T,643,517,877,789,890,928,1129,1068,1161,1153,1203,1175,588,586,563,625,651,812,734,699,777,968,988,1060
11641439,Red,NORM_T,4377,3482,6122,6340,6581,6324,6974,6403,6758,6162,6472,7303,4673,4397,5393,4513,5187,5157,5471,6074,4628,5256,5177,7670
11651448,Grn,NORM_C,4354,6485,5735,5667,6602,6602,6777,10318,10419,9987,7167,10975,4163,4591,7078,7611,5617,8475,5894,8795,8238,6286,5947,8841
11651448,Red,NORM_C,238,243,258,296,244,223,397,399,488,417,314,494,186,215,238,316,188,363,212,376,356,320,282,416
11694363,Grn,NEGATIVE,302,340,347,594,376,346,484,713,715,443,808,608,245,216,309,380,365,409,450,600,531,506,576,402
11694363,Red,NEGATIVE,123,131,150,213,155,211,166,172,136,207,266,385,172,147,131,182,119,204,149,310,211,247,244,230
11718309,Grn,NORM_A,540,680,710,696,626,908,723,683,605,706,553,1168,460,525,426,354,528,515,357,851,810,911,526,999
11718309,Red,NORM_A,1327,1041,2630,2285,2258,2745,2737,2612,2520,2650,2563,2882,1722,1666,2199,1940,2120,2284,2649,2241,1902,2002,2438,2667
11739368,Grn,NORM_C,4713,4413,6190,5815,6209,6736,6792,7140,7104,6723,6745,7128,4189,4195,5147,5416,5548,5659,5702,5722,5097,6234,5323,6194
11739368,Red,NORM_C,222,151,259,351,249,289,315,299,345,333,255,402,196,211,180,243,206,235,263,263,245,299,277,322
11742370,Grn,NORM_T,513,312,568,602,710,805,742,540,996,486,839,671,405,425,438,440,548,423,466,758,589,637,637,898
11742370,Red,NORM_T,2546,2269,3821,3854,4109,3965,4219,3946,3914,3974,4051,4385,2922,2678,3394,3122,3020,3184,3255,3340,2858,3278,3170,3441
11748306,Grn,NEGATIVE,362,347,473,526,360,492,444,490,676,613,601,507,255,316,305,379,325,704,461,505,517,526,474,662
11748306,Red,NEGATIVE,159,171,198,157,109,187,166,231,247,242,178,318,163,133,104,179,147,195,163,212,229,280,248,334
11749491,Grn,NORM_T,368,478,579,651,624,494,411,467,712,693,847,832,390,399,451,385,494,594,518,749,477,511,772,630
11749491,Red,NORM_T,5191,4948,6913,7295,6885,6804,7595,6906,7264,6678,7085,7332,4955,5141,5584,5923,5855,6239,5640,6182,5466,5700,5964,6673
11758414,Grn,NORM_T,382,396,668,663,447,536,667,681,752,752,786,989,299,476,388,365,412,499,566,631,677,590,562,684
11758414,Red,NORM_T,2958,2401,4247,4528,4160,4312,4738,4544,4234,4470,4383,4686,3355,2591,3464,3494,3458,3536,3757,3993,3379,3511,3505,4332
11773410,Grn,NEGATIVE,429,236,419,252,73,486,401,525,344,617,605,515,291,323,322,299,384,309,173,618,722,521,593,660
11773410,Red,NEGATIVE,157,116,167,240,139,154,171,279,216,324,248,301,106,127,106,162,76,216,98,217,211,168,258,280
11781405,Grn,NEGATIVE,407,479,573,611,585,354,555,617,653,883,617,678,298,231,355,308,456,349,440,294,473,431,626,613
11781405,Red,NEGATIVE,165,200,211,183,210,165,221,244,221,236,261,306,213,147,117,214,117,164,207,240,221,248,254,347
11799488,Grn,NEGATIVE,223,322,618,477,194,422,174,353,477,484,717,649,197,164,351,287,362,426,471,507,387,647,473,430
11799488,Red,NEGATIVE,138,184,272,289,204,193,292,197,246,286,264,305,103,156,194,168,97,221,125,294,160,272,270,272
11807451,Grn,NEGATIVE,366,428,500,542,380,208,280,757,788,602,732,571,359,506,289,286,304,341,494,412,500,555,693,632
11807451,Red,NEGATIVE,151,147,189,190,149,122,203,197,261,257,329,284,158,147,39,214,133,200,64,236,216,230,221,230
12606314,Grn,NORM_C,3921,3768,5408,5167,5810,5736,6379,6329,6481,6598,6647,7022,4257,3940,4526,4797,5335,4980,5414,5544,5097,5916,5926,6347
12606314,Red,NORM_C,328,280,418,465,396,438,395,399,450,440,430,480,358,277,280,397,293,371,379,378,301,444,443,506
12635324,Grn,NEGATIVE,200,425,403,288,284,207,451,500,504,614,599,597,253,246,308,382,307,300,379,437,599,635,498,526
12635324,Red,NEGATIVE,148,165,234,218,187,130,248,287,233,342,275,296,191,193,154,233,150,207,188,207,258,350,313,395
12641437,Grn,NEGATIVE,519,386,482,578,462,399,459,298,535,576,548,740,382,399,362,413,289,368,350,398,763,642,559,414
12641437,Red,NEGATIVE,126,154,167,224,193,249,201,214,195,307,263,366,156,160,153,165,73,211,151,188,222,176,202,301
12713402,Grn,NORM_T,572,563,523,457,782,798,781,681,915,690,646,771,417,470,529,370,700,761,563,579,720,519,823,730
