title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	gender:ch1	phenotype:ch1	tissue:ch1
12582.s1	GSM1013175	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11028.s1	GSM1013176	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11046.s1	GSM1013177	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11094.s1	GSM1013178	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11108.s1	GSM1013179	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11194.s1	GSM1013180	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11242.s1	GSM1013181	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11252.s1	GSM1013182	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11289.s1	GSM1013183	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
11303.s1	GSM1013184	Public on Apr 15 2013	Oct 02 2012	Apr 09 2014	genomic	1	Peripheral blood, control	Homo sapiens	gender: male	tissue: blood	phenotype: Control	None	None	genomic DNA	Standard DNA extraction protocol	Cy5 and Cy3	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	9606	Contained within the Illumina Infinium HumanMethylation450 BeadChips protocol	Using an Illumina HiScan	Raw signal intensities were quantile normalized separately and imputed values calculated for missing values (see unmethylated and methylated signal intensities in GSE-linked supplementary file). The beta value was calculated as: (signal b)/(signal a + signal b + 100)	GPL13534	Pankaj,,Chopra	pchopr4@emory.edu	404 727 0405	Warren Lab	Human Genetics	Emory University	615 Michael St. NE, Ste. 375	Atlanta	GA	30322	USA	NONE	485497	male	Control	blood
