CpGmarker,chr:coord_hg19,Gene_body,CGI,Shore,Shelf,ChrHMM_state
cg00105470,chr1:228290868,True,True,False,False,3
cg00290506,chr1:224804226,True,True,True,False,23
cg00476580,chr1:150207583,True,True,False,False,3
cg00565688,chr1:3568212,True,True,False,False,23
cg00630164,chr1:41250062,True,True,False,False,2
cg00650762,chr1:23037368,True,True,False,False,22
cg00712898,chr1:109235208,True,False,True,False,3
cg00930078,chr1:224301953,True,True,False,False,3
cg00941229,chr1:149982400,True,True,False,False,3
cg01419479,chr1:182360822,True,True,False,False,3
cg01990334,chr1:42801334,True,True,False,False,3
cg02008416,chr1:55445880,False,False,True,False,24
cg02397514,chr1:935139,True,True,False,False,2
cg02849695,chr1:159869960,False,True,False,False,14
cg02850329,chr1:24829455,True,True,False,False,1
cg03085637,chr1:145516630,True,True,False,False,3
cg03115649,chr1:179851535,True,True,False,False,3
cg03152785,chr1:110753723,False,True,False,False,2
cg03229887,chr1:45452240,True,True,False,False,1
cg03271651,chr1:151431849,True,True,False,False,22
cg03716942,chr1:1821981,True,True,False,False,3
cg03716999,chr1:6265802,True,False,True,False,2
cg03861428,chr1:17380702,False,True,False,False,1
cg04185893,chr1:97187305,True,True,False,False,1
cg04317543,chr1:156084516,True,True,False,False,9
cg04453065,chr1:86046661,True,True,False,True,3
cg04564646,chr1:113217655,True,True,False,False,3
cg05027081,chr1:91966616,True,True,False,False,3
cg05321960,chr1:155904084,True,True,False,False,3
cg05436231,chr1:27709789,True,True,False,False,22
cg05675373,chr1:110754257,True,True,False,False,23
cg06038049,chr1:1259909,True,True,False,True,3
cg06240849,chr1:47184738,False,True,False,False,3
cg06251129,chr1:155990657,True,True,False,False,3
cg06324094,chr1:153950482,True,True,False,False,3
cg06377278,chr1:25256369,True,True,False,False,23
cg06382459,chr1:2159373,False,True,False,False,19
cg06394897,chr1:33502464,True,True,False,False,3
cg06449653,chr1:23670777,True,True,False,False,3
cg06615861,chr1:10271191,True,True,False,False,3
cg06744574,chr1:49242359,True,False,True,False,22
cg06752594,chr1:109825964,False,True,True,False,1
cg07248310,chr1:60280716,True,True,False,False,1
cg07274506,chr1:6614341,True,True,False,False,3
cg07387450,chr1:93646168,True,True,False,False,1
cg07453618,chr1:3541082,False,True,False,False,3
cg07533148,chr1:248020812,True,True,False,False,1
cg07536847,chr1:18957232,False,True,False,False,24
cg07761912,chr1:179846929,True,True,False,False,3
cg07766612,chr1:26372887,False,True,False,False,24
cg08080029,chr1:6239970,True,True,True,False,24
cg08156349,chr1:156470327,True,True,False,False,3
cg08185241,chr1:209848864,True,True,False,False,2
cg08460435,chr1:109203610,True,True,False,False,1
cg08643928,chr1:178694481,True,True,False,False,1
cg08661290,chr1:6674110,True,True,False,False,3
cg08755040,chr1:180124539,True,True,False,False,3
cg09255666,chr1:200378965,True,True,False,False,3
cg09383789,chr1:1051364,True,True,True,False,1
cg10074513,chr1:3541656,True,True,False,False,1
cg10272885,chr1:153631237,True,True,False,False,3
cg10316635,chr1:62208645,True,True,False,False,2
cg10409799,chr1:154600487,True,True,False,False,3
cg10730174,chr1:170633559,True,True,False,True,2
cg10773309,chr1:32229411,True,True,False,True,23
cg10892866,chr1:154934115,True,True,False,False,3
cg10943191,chr1:1850414,True,True,False,False,2
cg11246695,chr1:145576023,True,True,False,False,1
cg11376198,chr1:19600730,False,True,False,False,24
cg11428724,chr1:18957632,True,True,False,False,24
cg11594415,chr1:171454668,False,True,False,False,3
cg11666924,chr1:109289079,False,True,False,False,2
cg11735358,chr1:111991797,True,True,False,False,3
cg12687922,chr1:113257872,True,True,False,True,1
cg12688215,chr1:52499228,True,True,False,False,3
cg12888039,chr1:202927266,True,True,False,False,3
cg12888113,chr1:11107048,True,False,False,False,22
cg13249256,chr1:166958581,True,True,False,False,25
cg13283942,chr1:153606541,True,True,False,False,1
cg13449778,chr1:179712298,True,True,False,False,23
cg13514129,chr1:39547527,True,True,False,False,23
cg13599025,chr1:91966361,False,True,False,False,2
cg13625205,chr1:151584902,True,True,False,False,3
cg13697378,chr1:68512845,True,True,False,True,23
cg13724813,chr1:9353314,True,False,False,False,22
cg13841804,chr1:150207467,True,True,False,False,3
cg13904493,chr1:233464194,True,True,False,False,2
cg14155482,chr1:151171082,True,True,False,False,3
cg14297876,chr1:53704016,True,True,False,False,3
cg14455487,chr1:42800860,True,True,False,False,1
cg14513226,chr1:212003502,True,True,False,False,1
cg14550007,chr1:41707370,True,True,False,False,1
cg14550570,chr1:3712988,True,True,False,False,3
cg14841875,chr1:116916411,True,True,False,False,3
cg15103675,chr1:162531519,True,True,False,False,3
cg15311933,chr1:19638897,True,True,False,False,3
cg15482690,chr1:11072742,True,True,False,False,3
cg15694180,chr1:155023435,True,True,False,False,2
cg15955341,chr1:110198890,True,True,False,False,1
cg16011258,chr1:16767021,False,True,False,False,2
cg16268051,chr1:22379390,True,True,False,False,3
cg16382382,chr1:92351047,True,True,False,False,3
cg16491909,chr1:154193730,True,True,False,False,3
cg16534233,chr1:42846477,True,True,False,False,23
cg16582344,chr1:228270207,False,True,False,False,3
cg16632891,chr1:54872978,True,True,True,False,2
cg16739396,chr1:63249836,True,False,False,False,1
cg16743781,chr1:113249654,True,True,False,False,3
cg17057965,chr1:224301873,True,True,False,False,3
cg17079378,chr1:46713440,True,False,False,False,3
cg17257175,chr1:155163542,False,True,True,False,2
cg17386433,chr1:28052708,True,True,False,False,1
cg17720231,chr1:159915374,True,True,False,False,2
cg17829314,chr1:38274017,True,True,False,False,1
cg17892328,chr1:182360794,True,True,False,False,3
cg18127191,chr1:91966734,True,True,False,False,3
cg18335243,chr1:186649519,True,True,False,False,1
cg18580491,chr1:36273890,True,True,False,False,1
cg18815943,chr1:47882314,True,True,False,False,24
cg18825999,chr1:24286530,True,True,False,False,3
cg18830459,chr1:33429781,True,True,False,False,3
cg19234509,chr1:115124245,True,False,False,False,1
cg19452316,chr1:206680966,True,True,False,False,23
cg19622360,chr1:236958982,True,True,False,False,3
cg19783114,chr1:3569046,True,True,False,False,23
cg20345840,chr1:43424417,True,True,False,False,3
cg20478514,chr1:246887464,True,True,False,False,1
cg20695057,chr1:224034220,False,True,False,False,3
cg20767356,chr1:150693100,True,False,False,False,25
cg20771670,chr1:201438018,True,True,False,False,3
cg20802051,chr1:65613403,True,True,False,False,2
cg20913782,chr1:35325533,False,True,False,False,2
cg20932765,chr1:115054143,False,True,False,False,3
cg21184174,chr1:115881214,False,True,False,False,24
cg21319693,chr1:45987459,True,True,False,False,3
cg21319745,chr1:38478440,True,True,False,False,3
cg21363943,chr1:149899654,True,True,False,False,3
cg21421701,chr1:212872679,True,True,False,False,2
cg21576698,chr1:46767971,True,True,False,False,3
cg22063056,chr1:109505929,True,True,False,False,1
cg22063989,chr1:38100795,False,True,False,False,24
cg22284302,chr1:53163523,True,False,True,False,3
cg22396755,chr1:21995097,True,True,True,False,23
cg22429822,chr1:52456361,True,True,False,False,1
cg22594309,chr1:202679504,True,True,False,False,23
cg22780428,chr1:111682262,True,True,False,False,3
cg22857604,chr1:206730695,True,True,False,False,3
cg22926560,chr1:207226769,True,True,False,True,2
cg22957381,chr1:112532078,False,True,False,False,23
cg23002761,chr1:16085642,True,True,False,False,23
cg23274123,chr1:229478617,True,True,False,False,1
cg23349790,chr1:18434576,True,True,True,False,24
cg23391785,chr1:171810972,True,True,False,False,2
cg23472215,chr1:110282815,True,True,False,False,2
cg23508540,chr1:9884032,True,True,False,False,22
cg23687319,chr1:235492074,True,True,False,False,1
cg23695504,chr1:247275344,False,True,False,True,2
cg23698058,chr1:84544097,True,True,False,False,1
cg23779106,chr1:161719820,True,True,False,False,3
cg23845507,chr1:91966731,True,True,False,False,3
cg23881601,chr1:156698494,True,True,False,False,1
cg24305835,chr1:17380585,True,True,False,False,3
cg24358529,chr1:40204662,True,True,False,False,3
cg24409107,chr1:24127262,True,True,False,False,1
cg24450312,chr1:206681158,True,True,False,False,23
cg24649713,chr1:2125979,True,False,True,False,1
cg24686542,chr1:85155606,True,True,False,False,3
cg24744425,chr1:202858153,True,True,False,False,1
cg25115460,chr1:3607110,True,True,False,False,25
cg25167447,chr1:201617042,True,True,False,False,2
cg25568243,chr1:40974465,True,True,False,False,1
cg25637824,chr1:54304148,True,True,False,False,3
cg25741794,chr1:15736999,True,True,False,False,3
cg25885108,chr1:3568669,True,True,False,False,23
cg25947945,chr1:201368946,True,True,False,False,23
cg26054395,chr1:93545008,True,True,False,False,3
cg26233468,chr1:155145786,True,True,True,False,3
cg26985289,chr1:9884622,False,True,False,False,2
cg27012203,chr1:11865920,True,True,False,False,3
cg27303880,chr1:64240188,True,True,False,False,22
cg27478651,chr1:76190428,True,True,False,False,3
cg00261781,chr2:20212517,False,True,False,False,22
cg00396163,chr2:84743584,True,True,False,False,22
cg00567479,chr2:242295999,True,True,False,False,3
cg00616369,chr2:232329096,True,True,False,False,3
cg00954003,chr2:85132392,True,True,True,False,2
cg01615704,chr2:110873396,True,True,False,False,23
cg02237186,chr2:10263043,True,True,False,True,3
cg03054162,chr2:70485230,True,False,True,False,1
cg03077836,chr2:9347292,True,True,False,False,3
cg03107405,chr2:3381941,False,False,True,False,2
cg03392046,chr2:37311658,True,True,False,False,3
cg03856450,chr2:73298881,True,True,False,False,1
cg04324308,chr2:228028741,True,True,False,False,23
cg04367351,chr2:160918675,True,True,False,False,1
cg04496615,chr2:68479620,True,True,False,False,1
cg04532229,chr2:103235411,False,True,False,False,2
cg04589975,chr2:70418186,True,True,False,False,1
cg04786857,chr2:29033897,True,True,False,False,23
cg05650565,chr2:136499412,True,True,False,False,3
cg05732530,chr2:96811060,True,True,False,False,1
cg05790999,chr2:20850809,True,True,False,False,1
cg05844583,chr2:228582789,False,True,False,False,23
cg06043190,chr2:42396882,True,True,False,False,3
cg06191203,chr2:152266755,True,True,False,False,3
cg06552037,chr2:220435838,True,True,False,True,1
cg06625414,chr2:220492692,True,True,False,False,23
cg06642617,chr2:73461528,True,True,False,False,3
cg06668300,chr2:95691755,True,True,False,False,23
cg06834261,chr2:203776215,True,False,True,False,3
cg06869899,chr2:28113326,True,True,False,False,3
cg07197823,chr2:121103050,False,True,True,False,23
cg07310661,chr2:225449833,True,True,False,False,1
cg07314337,chr2:153574424,True,True,False,False,1
cg07428089,chr2:176046170,True,True,False,False,3
cg07652213,chr2:48010362,True,True,False,False,1
cg08229694,chr2:86422197,True,True,False,False,3
cg08305742,chr2:88354927,True,True,False,False,3
cg08460026,chr2:204732474,False,False,False,False,25
cg08646988,chr2:69614274,True,True,False,False,3
cg08974656,chr2:96931567,True,True,False,False,3
cg09266433,chr2:179058698,False,True,False,False,2
cg09288658,chr2:173940639,True,True,False,False,1
cg09809242,chr2:122494874,True,False,True,False,1
cg10140638,chr2:220174207,True,True,True,False,24
cg10660136,chr2:232379107,False,True,False,False,1
cg10762132,chr2:113403533,True,True,False,False,1
cg10773869,chr2:70057052,True,True,False,False,3
cg10775273,chr2:219857927,True,True,False,True,24
cg11620807,chr2:227664353,True,True,False,False,2
cg11692477,chr2:190445477,True,True,False,False,1
cg12066181,chr2:25565288,True,True,True,False,1
cg12393697,chr2:187558983,True,True,False,False,1
cg12620499,chr2:216877984,True,True,False,False,3
cg12691366,chr2:64681733,True,True,False,False,1
cg12815916,chr2:131114432,True,False,True,False,23
cg12885244,chr2:88355058,True,True,False,False,3
cg12949975,chr2:20867352,True,True,False,True,23
cg13051968,chr2:7057649,True,True,False,False,1
cg13332925,chr2:178257559,True,True,False,False,3
cg13439299,chr2:27498173,True,False,False,False,25
cg13539030,chr2:235405968,False,True,False,False,22
cg14002682,chr2:25195127,False,True,False,False,3
cg14126210,chr2:47142867,True,True,False,False,3
cg14172532,chr2:242447907,True,True,False,False,1
cg14383135,chr2:101436923,True,True,False,False,23
cg14698961,chr2:48667887,True,True,False,False,1
cg14934766,chr2:27009384,True,True,False,False,3
cg15157837,chr2:97482059,True,True,False,False,1
cg15243024,chr2:27651571,True,True,False,False,1
cg15319457,chr2:239148132,True,True,False,False,22
cg16246410,chr2:157189316,True,True,False,True,2
cg16605590,chr2:122494233,True,True,False,False,3
cg17178336,chr2:219925246,False,True,True,False,23
cg17189058,chr2:70418126,True,True,False,False,1
cg17610929,chr2:220379044,True,False,True,False,2
cg17731079,chr2:37899023,True,True,False,False,1
cg17895873,chr2:73441412,True,True,False,False,3
cg17918501,chr2:27717709,True,True,False,False,2
cg18182399,chr2:220283175,True,False,True,False,24
cg18277754,chr2:30144152,True,True,False,False,23
cg19001226,chr2:177053345,True,True,False,False,23
cg19210770,chr2:220379091,True,False,True,False,2
cg19280014,chr2:177134307,True,True,False,False,3
cg19355685,chr2:220071637,True,True,False,False,1
cg19461344,chr2:27485922,True,True,False,False,23
cg19728485,chr2:11295717,True,True,False,False,1
cg19886179,chr2:162164993,True,True,False,False,1
cg20091107,chr2:38604853,False,False,True,False,2
cg20369763,chr2:27718173,False,True,False,False,1
cg20449833,chr2:46770299,True,True,True,False,1
cg20557037,chr2:165698099,True,True,False,False,1
cg20637307,chr2:213403960,False,False,True,False,23
cg20972416,chr2:220025218,True,True,False,False,1
cg21182454,chr2:112656262,True,True,True,False,2
cg21321735,chr2:241760164,True,True,False,False,24
cg21650900,chr2:235405122,True,True,False,False,3
cg22085335,chr2:11052081,True,True,True,False,23
cg22148652,chr2:152684540,True,True,False,False,3
cg22153873,chr2:60781524,True,True,True,False,2
cg22243662,chr2:10862305,True,True,False,False,23
cg22380033,chr2:165477918,True,True,False,False,22
cg22544376,chr2:74154016,True,True,False,False,3
cg22580372,chr2:120436899,True,True,False,False,3
cg23248865,chr2:97535578,True,True,False,False,1
cg23631636,chr2:217363620,True,True,False,False,3
cg23905308,chr2:239196947,True,True,False,False,3
cg24053619,chr2:61293272,True,True,False,False,1
cg24076392,chr2:48667874,True,True,False,False,1
cg24127874,chr2:239149859,False,True,False,False,23
cg24767315,chr2:241525811,False,True,False,False,1
cg24890043,chr2:135476297,True,True,False,False,22
cg25596297,chr2:223162875,True,False,True,False,23
cg25856179,chr2:191878705,True,True,False,False,3
cg25903497,chr2:219157103,True,True,False,False,3
cg25908985,chr2:219925065,True,True,True,False,23
cg26102760,chr2:242088848,True,True,False,False,1
cg26900034,chr2:88355166,True,True,False,False,3
cg00201234,chr3:13590968,True,True,False,False,22
cg00522034,chr3:105587721,True,True,False,False,3
cg01216369,chr3:172859022,True,False,False,False,25
cg02164046,chr3:187388148,True,True,False,False,24
cg02699167,chr3:33319024,True,True,False,False,1
cg03159785,chr3:170075773,True,True,False,False,3
cg03438904,chr3:197518158,True,True,False,False,3
cg04228553,chr3:15247818,True,True,False,False,3
cg04428853,chr3:52931532,True,True,False,False,1
cg04531710,chr3:184032412,True,True,False,False,1
cg04614380,chr3:50192449,False,True,False,False,1
cg04739570,chr3:127348611,True,True,False,False,2
cg04759439,chr3:56502612,False,True,True,False,24
cg04836786,chr3:148804272,True,True,False,False,1
cg04837898,chr3:45731254,True,True,True,False,3
cg04970117,chr3:45838037,False,True,False,False,23
cg05008406,chr3:118959563,True,True,False,False,3
cg05280555,chr3:32727089,True,True,False,False,3
cg05308617,chr3:137906066,False,True,False,False,1
cg05369142,chr3:46735009,True,True,False,False,2
cg05699592,chr3:48885332,False,True,False,False,1
cg05788437,chr3:197476880,True,True,False,False,1
cg05911610,chr3:131221850,False,True,False,False,3
cg06088032,chr3:50383227,True,True,False,False,2
cg06490988,chr3:128212001,True,True,False,True,9
cg07248043,chr3:125314337,False,True,False,False,1
cg07356753,chr3:81810745,True,True,False,False,1
cg08563994,chr3:49823664,True,True,False,False,3
cg08574156,chr3:183979091,True,True,False,False,23
cg08584430,chr3:49824184,False,True,False,False,1
cg08853659,chr3:139654245,True,True,False,False,23
cg09307279,chr3:52739927,True,True,False,False,1
cg09615786,chr3:98620581,False,True,False,False,3
cg10553028,chr3:32280480,True,True,False,False,1
cg10920302,chr3:45430089,True,True,False,False,3
cg11021744,chr3:11034279,True,False,True,False,24
cg12062464,chr3:20081582,True,True,False,False,1
cg12149391,chr3:197025853,True,True,True,False,2
cg12185908,chr3:20227516,True,True,False,False,3
cg12291552,chr3:167813648,True,True,False,False,1
cg13517305,chr3:126423553,True,True,False,False,3
cg13562542,chr3:71803339,True,True,False,False,22
cg13577407,chr3:57994372,True,True,True,False,3
cg13913917,chr3:182511332,True,True,False,False,1
cg14272175,chr3:58318960,True,True,False,False,1
cg14415034,chr3:45730717,True,True,True,False,1
cg14452875,chr3:23987206,True,True,False,False,1
cg14643520,chr3:141595277,True,True,False,False,1
cg14911395,chr3:50311213,True,True,True,False,23
cg15348799,chr3:170075452,False,True,False,False,1
cg15427774,chr3:39149258,True,True,False,False,3
cg15584630,chr3:150126560,True,True,False,False,1
cg15602950,chr3:45731220,True,True,True,False,3
cg15705999,chr3:125093863,True,True,False,False,1
cg15786541,chr3:110791063,True,True,False,False,3
