CpGmarker,chr:coord_hg19,RNA_seq_ENCFF754LBN,RNA_seq_ENCFF398HDS
cg00105470,chr1:228290868,0.10833423927036158,0.004591379202260026
cg00290506,chr1:224804226,,0.005549999885261059
cg00476580,chr1:150207583,0.04472374077654093,0.3774149378115994
cg00565688,chr1:3568212,,
cg00630164,chr1:41250062,,
cg00650762,chr1:23037368,,0.0027699999045580626
cg00712898,chr1:109235208,0.028245062207306115,0.7164129193435583
cg00930078,chr1:224301953,0.008214810144014751,0.6544935467225218
cg00941229,chr1:149982400,0.06474920717421277,0.019320644438266754
cg01419479,chr1:182360822,1.1683166339584716,
cg01990334,chr1:42801334,,0.016571052562035966
cg02008416,chr1:55445880,,
cg02397514,chr1:935139,0.12785665794017903,0.02454773866835907
cg02849695,chr1:159869960,0.011127005877742867,
cg02850329,chr1:24829455,0.018896801782741782,0.3402761753181655
cg03085637,chr1:145516630,,0.09120329192600346
cg03115649,chr1:179851535,0.2118105245723727,0.21514598480855437
cg03152785,chr1:110753723,0.01038064223440757,0.041741545374814115
cg03229887,chr1:45452240,0.05300525425038501,
cg03271651,chr1:151431849,0.0646582101569756,0.006192274814277393
cg03716942,chr1:1821981,0.03509059848677265,0.005549999885261059
cg03716999,chr1:6265802,0.0075055171037092805,
cg03861428,chr1:17380702,0.14935551003432598,
cg04185893,chr1:97187305,0.010267227842002222,0.5211857314629669
cg04317543,chr1:156084516,0.0027699999045580626,0.8056455844609146
cg04453065,chr1:86046661,,
cg04564646,chr1:113217655,0.013869999907910824,0.3984248134449236
cg05027081,chr1:91966616,0.011232624081432397,0.03929035615119088
cg05321960,chr1:155904084,0.10493760607251781,
cg05436231,chr1:27709789,,
cg05675373,chr1:110754257,0.005549999885261059,0.04216458835520612
cg06038049,chr1:1259909,0.28533950587154916,0.013835388944587773
cg06240849,chr1:47184738,0.8825861446593295,
cg06251129,chr1:155990657,1.1253640976127437,
cg06324094,chr1:153950482,0.011671764659238797,0.010037460257964474
cg06377278,chr1:25256369,1.7429860598266014,0.09346645641364629
cg06382459,chr1:2159373,0.005427982343622206,0.005549999885261059
cg06394897,chr1:33502464,0.3217322643540683,
cg06449653,chr1:23670777,0.32790789581401253,
cg06615861,chr1:10271191,0.010948853656222486,0.012148354769921394
cg06744574,chr1:49242359,0.04576642400105343,
cg06752594,chr1:109825964,0.005549999885261059,
cg07248310,chr1:60280716,,0.08846281496898352
cg07274506,chr1:6614341,0.8072569351689773,
cg07387450,chr1:93646168,0.11547062249663761,0.053797056958859696
cg07453618,chr1:3541082,,
cg07533148,chr1:248020812,0.011090000160038471,0.3224761817468583
cg07536847,chr1:18957232,,
cg07761912,chr1:179846929,0.41208906048013055,
cg07766612,chr1:26372887,,0.0027699999045580626
cg08080029,chr1:6239970,,
cg08156349,chr1:156470327,1.3347894798992133,0.00673700402008166
cg08185241,chr1:209848864,0.0045676877805586324,17.20853182126273
cg08460435,chr1:109203610,0.048094961074991276,0.019157805435354832
cg08643928,chr1:178694481,0.015443355871869598,0.30281646129472617
cg08661290,chr1:6674110,,0.06351277365956776
cg08755040,chr1:180124539,,0.03038765567916903
cg09255666,chr1:200378965,0.3153120211680928,0.005549999885261059
cg09383789,chr1:1051364,0.05299108062014991,
cg10074513,chr1:3541656,,0.06318494677050006
cg10272885,chr1:153631237,0.008320000022649765,0.08106781867332756
cg10316635,chr1:62208645,,0.020935972670169466
cg10409799,chr1:154600487,0.18611613014507639,0.02500378027770335
cg10730174,chr1:170633559,,
cg10773309,chr1:32229411,,
cg10892866,chr1:154934115,0.14000067263644217,0.021886691393081418
cg10943191,chr1:1850414,0.013924101469456218,
cg11246695,chr1:145576023,0.0027699999045580626,0.029093967855072744
cg11376198,chr1:19600730,0.0072749171673592945,
cg11428724,chr1:18957632,,
cg11594415,chr1:171454668,0.5150219700357266,2.6579339757570386
cg11666924,chr1:109289079,0.01163543480704876,0.0027699999045580626
cg11735358,chr1:111991797,0.07981132223340105,0.005483809409530035
cg12687922,chr1:113257872,0.010222700703209334,
cg12688215,chr1:52499228,0.3767784542945258,0.008172659589809941
cg12888039,chr1:202927266,0.7415444608545512,
cg12888113,chr1:11107048,0.013228945036786139,
cg13249256,chr1:166958581,,
cg13283942,chr1:153606541,0.07776608489026453,0.6155973727742595
cg13449778,chr1:179712298,0.005549999885261059,
cg13514129,chr1:39547527,,
cg13599025,chr1:91966361,0.008372903123871827,0.05618739147684065
cg13625205,chr1:151584902,0.0045895482841578706,0.08578129671746285
cg13697378,chr1:68512845,,
cg13724813,chr1:9353314,,0.0031475307661350126
cg13841804,chr1:150207467,0.02906930001161527,0.45573419064952253
cg13904493,chr1:233464194,0.007414950472809891,0.07969561063143381
cg14155482,chr1:151171082,0.008320000022649765,0.22242962933248944
cg14297876,chr1:53704016,0.5258660589175257,
cg14455487,chr1:42800860,0.6731422111081581,0.014468999983121952
cg14513226,chr1:212003502,0.2362446872937839,
cg14550007,chr1:41707370,0.06399708213818786,0.01926377547515214
cg14550570,chr1:3712988,0.5295597529667838,
cg14841875,chr1:116916411,0.0093295504958177,0.42352122265353165
cg15103675,chr1:162531519,,0.2623381288327332
cg15311933,chr1:19638897,0.01809024768694082,0.019948604504308628
cg15482690,chr1:11072742,0.00950046421622048,0.8725493368016425
cg15694180,chr1:155023435,0.008020322605271534,0.020186257428729426
cg15955341,chr1:110198890,,0.1134811118429911
cg16011258,chr1:16767021,0.01198356899348989,0.037254402768422866
cg16268051,chr1:22379390,0.018312768054373582,0.9693526139673301
cg16382382,chr1:92351047,0.08703930171536388,0.014770701260692099
cg16491909,chr1:154193730,0.02806059187232198,0.16152179550537446
cg16534233,chr1:42846477,,0.0027699999045580626
cg16582344,chr1:228270207,0.05876851783164167,0.012013017786832074
cg16632891,chr1:54872978,0.0029482050315262033,0.02672457475568247
cg16739396,chr1:63249836,,0.013729758328951644
cg16743781,chr1:113249654,0.114152861547728,0.0027699999045580626
cg17057965,chr1:224301873,0.00823772279084614,0.5751784398030656
cg17079378,chr1:46713440,0.0027699999045580626,
cg17257175,chr1:155163542,0.007407388085179698,
cg17386433,chr1:28052708,,0.1744199253135637
cg17720231,chr1:159915374,,
cg17829314,chr1:38274017,0.011177453464070647,0.059717582171004015
cg17892328,chr1:182360794,1.179354015598422,
cg18127191,chr1:91966734,0.012206971848672124,0.024505114923005025
cg18335243,chr1:186649519,1.992240389588375,0.008905031789497584
cg18580491,chr1:36273890,,0.05788115076066111
cg18815943,chr1:47882314,,
cg18825999,chr1:24286530,0.010227384686899873,1.016787201983673
cg18830459,chr1:33429781,1.5529025443771534,0.034669283804649224
cg19234509,chr1:115124245,1.6567578645243803,
cg19452316,chr1:206680966,0.006928558093170787,0.10744154633503603
cg19622360,chr1:236958982,0.16253097229718494,0.602153116999719
cg19783114,chr1:3569046,,
cg20345840,chr1:43424417,0.608260177959669,0.0027699999045580626
cg20478514,chr1:246887464,,0.01854071377643517
cg20695057,chr1:224034220,0.05512942872941494,0.40252536193391036
cg20767356,chr1:150693100,,
cg20771670,chr1:201438018,0.016542713875555403,
cg20802051,chr1:65613403,0.0027699999045580626,0.016675466472903886
cg20913782,chr1:35325533,0.0658176187691944,
cg20932765,chr1:115054143,0.033169285587044975,0.2760245397203878
cg21184174,chr1:115881214,,
cg21319693,chr1:45987459,0.35813158660140987,0.008320000022649765
cg21319745,chr1:38478440,0.011090000160038471,0.16901356640611162
cg21363943,chr1:149899654,0.15248992580205128,0.05597489720153413
cg21421701,chr1:212872679,0.02026035802851921,
cg21576698,chr1:46767971,0.015728356367272836,
cg22063056,chr1:109505929,0.05421091392928097,0.011581216189959968
cg22063989,chr1:38100795,,
cg22284302,chr1:53163523,0.008320000022649765,0.008292574278715223
cg22396755,chr1:21995097,0.010502787125602242,
cg22429822,chr1:52456361,,
cg22594309,chr1:202679504,,
cg22780428,chr1:111682262,0.3576425694270603,0.04674490982221301
cg22857604,chr1:206730695,0.020729970859422384,3.8634285626658924
cg22926560,chr1:207226769,0.010843168464627597,0.06304542533062557
cg22957381,chr1:112532078,,
cg23002761,chr1:16085642,,
cg23274123,chr1:229478617,0.03351980024841881,0.006830290984239173
cg23349790,chr1:18434576,,
cg23391785,chr1:171810972,,0.04586703025764136
cg23472215,chr1:110282815,0.05376177552414368,
cg23508540,chr1:9884032,0.041416538474508206,
cg23687319,chr1:235492074,0.0027699999045580626,0.1293126513858832
cg23695504,chr1:247275344,,
cg23698058,chr1:84544097,0.005549999885261059,0.056514388772466236
cg23779106,chr1:161719820,0.026277102986029508,0.319069975185432
cg23845507,chr1:91966731,0.01208003522815104,0.02488813282150175
cg23881601,chr1:156698494,0.04587908149269238,0.07276237778154747
cg24305835,chr1:17380585,0.35092659645171753,
cg24358529,chr1:40204662,,0.08944628461503391
cg24409107,chr1:24127262,0.032265920049162365,0.0038196620833430743
cg24450312,chr1:206681158,0.007646565334050489,0.13009077328213134
cg24649713,chr1:2125979,0.25357351076723844,
cg24686542,chr1:85155606,0.01398489187411267,
cg24744425,chr1:202858153,0.15049160214677143,0.05716748082600917
cg25115460,chr1:3607110,,
cg25167447,chr1:201617042,,
cg25568243,chr1:40974465,0.029548965266038632,0.05051218573030401
cg25637824,chr1:54304148,0.004157465670500206,
cg25741794,chr1:15736999,0.00551435885986743,0.07401132140485128
cg25885108,chr1:3568669,,
cg25947945,chr1:201368946,,
cg26054395,chr1:93545008,,0.67497049839387
cg26233468,chr1:155145786,0.12932510535286182,0.008320000022649765
cg26985289,chr1:9884622,,0.005549999885261059
cg27012203,chr1:11865920,0.29153518400771516,
cg27303880,chr1:64240188,,0.012758826184361962
cg27478651,chr1:76190428,,0.05176047945462091
cg00261781,chr2:20212517,,
cg00396163,chr2:84743584,0.0027699999045580626,0.03611734154678527
cg00567479,chr2:242295999,,0.025224519812628247
cg00616369,chr2:232329096,0.784535999952451,0.009532452771826735
cg00954003,chr2:85132392,,0.05202872309390669
cg01615704,chr2:110873396,,0.0027699999045580626
cg02237186,chr2:10263043,,0.0032828154349790035
cg03054162,chr2:70485230,0.01029497507000481,0.08696420496472945
cg03077836,chr2:9347292,,0.041716140313867604
cg03107405,chr2:3381941,,0.01849958562750102
cg03392046,chr2:37311658,0.027883442623866467,0.033412452140056635
cg03856450,chr2:73298881,0.10605157538330907,
cg04324308,chr2:228028741,,0.005549999885261059
cg04367351,chr2:160918675,,
cg04496615,chr2:68479620,0.048286015802595596,
cg04532229,chr2:103235411,,
cg04589975,chr2:70418186,0.023203043450792292,0.0027699999045580626
cg04786857,chr2:29033897,,0.07701965105578192
cg05650565,chr2:136499412,0.010453093712567352,1.5670523181594815
cg05732530,chr2:96811060,11.269101172592723,0.030791833552863822
cg05790999,chr2:20850809,0.06621184540621862,0.004747323834494701
