CpGmarker,chr:coord_hg19,Replication_timing_GSM923447,LaminB1_GSM1289416
cg00105470,chr1:228290868,62.185791015625,1.2287332511105826
cg00290506,chr1:224804226,68.97663116455078,5.465084814004394
cg00476580,chr1:150207583,79.03020515346765,3.6715199466916717
cg00565688,chr1:3568212,53.48186492919922,0.37107042624833303
cg00630164,chr1:41250062,69.76889038085938,1.0151721378905647
cg00650762,chr1:23037368,78.8279976214554,-0.27344745333845677
cg00712898,chr1:109235208,69.03031921386719,2.5368828498746647
cg00930078,chr1:224301953,80.68853759765625,2.0457466417355863
cg00941229,chr1:149982400,69.35180671672869,3.249084207212895
cg01419479,chr1:182360822,30.170455932617188,1.9313751792427274
cg01990334,chr1:42801334,46.3370021905685,1.9627186377117556
cg02008416,chr1:55445880,69.85250091552734,1.5271468726303474
cg02397514,chr1:935139,83.1629638671875,1.3402660494337153
cg02849695,chr1:159869960,59.716651916503906,1.1876372401450084
cg02850329,chr1:24829455,79.21997218714688,-0.0484215540609672
cg03085637,chr1:145516630,83.94528886980547,2.3479796762130123
cg03115649,chr1:179851535,72.7126724737838,0.7729666962731695
cg03152785,chr1:110753723,67.99649810791016,2.5722375840924547
cg03229887,chr1:45452240,75.58785247802734,1.861384369864572
cg03271651,chr1:151431849,79.5381088256836,1.1158537313492232
cg03716942,chr1:1821981,81.02656555175781,0.7196549969145873
cg03716999,chr1:6265802,75.34335327148438,1.0361909989445877
cg03861428,chr1:17380702,77.80738067626953,-0.4751514428358534
cg04185893,chr1:97187305,54.136213602270566,0.20238301976201517
cg04317543,chr1:156084516,85.25130913560824,1.6670955258705453
cg04453065,chr1:86046661,80.74119853259917,13.86033232206061
cg04564646,chr1:113217655,80.1939432995575,3.231608344715849
cg05027081,chr1:91966616,75.68613055222052,0.652106275336268
cg05321960,chr1:155904084,85.94457244873047,3.9135110201102963
cg05436231,chr1:27709789,83.6511001586914,1.6419246629143243
cg05675373,chr1:110754257,67.99649810791016,1.6516214335895605
cg06038049,chr1:1259909,83.53572082519531,0.3192641363110891
cg06240849,chr1:47184738,57.63343811035156,1.0992249315346518
cg06251129,chr1:155990657,85.59411194913108,0.6911014016689522
cg06324094,chr1:153950482,80.86160672156888,-0.015028510008110507
cg06377278,chr1:25256369,78.62561290103598,0.4553599416158662
cg06382459,chr1:2159373,81.14176505224366,-1.518276412190007
cg06394897,chr1:33502464,81.1253452633979,-0.41266171773074556
cg06449653,chr1:23670777,83.56951904296875,-0.020426488455657095
cg06615861,chr1:10271191,80.17959594726562,1.3393229060719536
cg06744574,chr1:49242359,10.213805350876806,1.8826108199147793
cg06752594,chr1:109825964,84.90727996826172,-0.6814918853624041
cg07248310,chr1:60280716,61.523651123046875,0.7902098782829734
cg07274506,chr1:6614341,81.86654946572168,2.280615592483309
cg07387450,chr1:93646168,72.54931640625,-1.0310734614016728
cg07453618,chr1:3541082,53.856327056884766,1.9144669915326598
cg07533148,chr1:248020812,19.28044891357422,1.3119070605006566
cg07536847,chr1:18957232,46.94202423095703,2.524459144330445
cg07761912,chr1:179846929,72.43236541748047,0.16953861015269378
cg07766612,chr1:26372887,76.31482696533203,1.3145700358323547
cg08080029,chr1:6239970,73.96602630615234,-0.023712671223455474
cg08156349,chr1:156470327,82.53133278178456,3.25121350192303
cg08185241,chr1:209848864,43.166500091552734,2.779716494101421
cg08460435,chr1:109203610,66.59861879039583,1.6891111373901366
cg08643928,chr1:178694481,81.21604171714878,-0.11658086689653564
cg08661290,chr1:6674110,79.86767578125,1.598509584476125
cg08755040,chr1:180124539,84.58948745156762,1.054224662041709
cg09255666,chr1:200378965,77.64456939697266,3.0133367617724827
cg09383789,chr1:1051364,83.78023424410166,0.1422024226796717
cg10074513,chr1:3541656,53.846491873115674,-0.240609501861505
cg10272885,chr1:153631237,84.12503051757812,-0.038459682175584646
cg10316635,chr1:62208645,35.74627024396102,0.8996781598710893
cg10409799,chr1:154600487,64.25917095079683,-0.08355950498460822
cg10730174,chr1:170633559,58.99762137929103,1.4738717477027354
cg10773309,chr1:32229411,84.80419980855356,1.3793245765664415
cg10892866,chr1:154934115,78.3440933227539,3.451325091667079
cg10943191,chr1:1850414,80.16982273092293,1.7613407895532003
cg11246695,chr1:145576023,82.4806900024414,-0.7191389010707737
cg11376198,chr1:19600730,75.7606430053711,0.6639506284883068
cg11428724,chr1:18957632,47.023015780936454,2.642058808797553
cg11594415,chr1:171454668,41.02538647734911,-0.1361705052762548
cg11666924,chr1:109289079,72.46275329589844,-0.3698208883066922
cg11735358,chr1:111991797,74.85041809082031,1.9199638185595684
cg12687922,chr1:113257872,79.45249938964844,-1.3928354478086948
cg12688215,chr1:52499228,84.60184478759766,2.407728940924109
cg12888039,chr1:202927266,68.42347717285156,1.9530712278273603
cg12888113,chr1:11107048,72.35130310058594,0.6446002029651959
cg13249256,chr1:166958581,22.156987259215548,2.0191303332446506
cg13283942,chr1:153606541,84.35295968757306,-0.4587840722024591
cg13449778,chr1:179712298,62.974273681640625,2.141809609434767
cg13514129,chr1:39547527,78.72586995645652,0.8163957998194082
cg13599025,chr1:91966361,75.64829769752863,-0.635143720608214
cg13625205,chr1:151584902,75.19580078125,3.62496579323968
cg13697378,chr1:68512845,74.8990478515625,1.9011907192693098
cg13724813,chr1:9353314,83.67464856078797,-0.06245941420552562
cg13841804,chr1:150207467,79.02418443865312,3.007764428703851
cg13904493,chr1:233464194,32.7794189453125,1.4863736998637016
cg14155482,chr1:151171082,83.9582290649414,0.7578092943736228
cg14297876,chr1:53704016,81.83220672607422,2.2823408262555485
cg14455487,chr1:42800860,46.335784912109375,-0.1431883768335698
cg14513226,chr1:212003502,63.00333198109767,0.5477440679628843
cg14550007,chr1:41707370,64.4624754413405,3.1915329703756186
cg14550570,chr1:3712988,51.286109924316406,1.3011525651106906
cg14841875,chr1:116916411,34.20271285097498,2.2816336605350678
cg15103675,chr1:162531519,78.397087572816,1.4306579690135697
cg15311933,chr1:19638897,76.6033706665039,0.06315131335324545
cg15482690,chr1:11072742,72.23081970214844,1.3660013903335901
cg15694180,chr1:155023435,81.75596869794508,1.288816369450663
cg15955341,chr1:110198890,80.26318359375,0.950394397418505
cg16011258,chr1:16767021,79.95079040527344,1.9622225998631053
cg16268051,chr1:22379390,81.6838045572105,0.39680303880940154
cg16382382,chr1:92351047,75.80532836914062,1.0056024406818433
cg16491909,chr1:154193730,77.39104461669922,3.5088746208387898
cg16534233,chr1:42846477,46.880208498224654,0.6156515301174721
cg16582344,chr1:228270207,61.280548095703125,0.1013873880095686
cg16632891,chr1:54872978,69.23697662353516,3.3241123684707756
cg16739396,chr1:63249836,61.27314376831055,1.9212943859004254
cg16743781,chr1:113249654,79.61286471550007,1.8078275569890547
cg17057965,chr1:224301873,80.68853759765625,2.0550231601789557
cg17079378,chr1:46713440,80.4427065956325,1.5356223358014969
cg17257175,chr1:155163542,83.33273593208142,1.856539319534446
cg17386433,chr1:28052708,79.96536254882812,1.039135544741484
cg17720231,chr1:159915374,60.204285600238904,1.539516828522574
cg17829314,chr1:38274017,70.26487731933594,1.1336167348121815
cg17892328,chr1:182360794,30.170455932617188,2.2720230400412147
cg18127191,chr1:91966734,75.69859313964844,1.3650667481218237
cg18335243,chr1:186649519,43.58617948118291,1.2965412331318074
cg18580491,chr1:36273890,73.97303009033203,0.3387599605832352
cg18815943,chr1:47882314,63.237897725473914,0.8329969901281881
cg18825999,chr1:24286530,75.14403147709339,1.9286066018964543
cg18830459,chr1:33429781,81.61224365234375,3.3214076541232824
cg19234509,chr1:115124245,41.92725372314453,0.22632019054754554
cg19452316,chr1:206680966,78.3797607421875,0.5678668968773609
cg19622360,chr1:236958982,23.58794593811035,4.04952674038164
cg19783114,chr1:3569046,53.46535110473633,0.40961082435449964
cg20345840,chr1:43424417,69.76574809771226,1.1905134986870234
cg20478514,chr1:246887464,71.71210487346697,1.9560574701510989
cg20695057,chr1:224034220,80.02080535888672,1.2906982927613655
cg20767356,chr1:150693100,81.3075180053711,0.2628771777567395
cg20771670,chr1:201438018,85.54234313964844,2.0846804782785755
cg20802051,chr1:65613403,38.994803373950376,1.2543172067598973
cg20913782,chr1:35325533,44.49384012959545,0.5853435978180815
cg20932765,chr1:115054143,41.266788482666016,2.7111545390911607
cg21184174,chr1:115881214,73.19147491455078,1.3638344196138215
cg21319693,chr1:45987459,74.30058419853077,2.6871722279027366
cg21319745,chr1:38478440,71.55724106405738,0.6478397723109055
cg21363943,chr1:149899654,62.86847037032358,1.570967320418478
cg21421701,chr1:212872679,73.11351625818267,5.272739526306652
cg21576698,chr1:46767971,78.49761962890625,1.5271148053314583
cg22063056,chr1:109505929,75.30496978759766,1.5572477025296585
cg22063989,chr1:38100795,66.0398941040039,1.5806456895108787
cg22284302,chr1:53163523,75.30920771648759,2.2044340135263547
cg22396755,chr1:21995097,76.9106674194336,1.4067527407062443
cg22429822,chr1:52456361,84.98654045428421,1.3579523800602489
cg22594309,chr1:202679504,76.76953359018835,1.6346282588144394
cg22780428,chr1:111682262,47.904335021972656,2.436992350993889
cg22857604,chr1:206730695,78.204194903671,0.6961121943495435
cg22926560,chr1:207226769,56.94615936279297,3.215377434675279
cg22957381,chr1:112532078,56.34832000732422,1.8753510025196172
cg23002761,chr1:16085642,85.21680071823614,0.6167936422662711
cg23274123,chr1:229478617,54.391985324850104,1.537383809685707
cg23349790,chr1:18434576,33.638690158910585,0.9447308175960175
cg23391785,chr1:171810972,46.2039909362793,-0.00203362353127309
cg23472215,chr1:110282815,81.80775451660156,0.2923164651435929
cg23508540,chr1:9884032,81.80557250976562,0.1307661574080549
cg23687319,chr1:235492074,76.66983032226562,0.45341485303355106
cg23695504,chr1:247275344,49.94013724957321,1.690104969652834
cg23698058,chr1:84544097,63.1334114074707,2.449970114441302
cg23779106,chr1:161719820,61.16233444213867,0.9299225209642117
cg23845507,chr1:91966731,75.69859313964844,1.3329158536432972
cg23881601,chr1:156698494,84.55316323829707,0.36664196135715516
cg24305835,chr1:17380585,77.8118200896684,-0.16061527655466978
cg24358529,chr1:40204662,72.86589895043885,1.8945549432216424
cg24409107,chr1:24127262,75.40301513671875,0.9398022475711044
cg24450312,chr1:206681158,78.3797607421875,0.11524937082297856
cg24649713,chr1:2125979,80.94720458984375,0.7207267822449093
cg24686542,chr1:85155606,76.57886581230639,0.10513194032970544
cg24744425,chr1:202858153,70.16265869140625,1.542514441746008
cg25115460,chr1:3607110,52.787288665771484,1.260557317763792
cg25167447,chr1:201617042,83.73664855957031,5.65338506266212
cg25568243,chr1:40974465,62.30271964893674,1.6086647924157775
cg25637824,chr1:54304148,79.36199951171875,-1.3610977959873094
cg25741794,chr1:15736999,75.52202606201172,2.3735353667429773
cg25885108,chr1:3568669,53.46662773455765,1.6879843251981423
cg25947945,chr1:201368946,84.73853302001953,1.166013722380703
cg26054395,chr1:93545008,72.2884750366211,5.193796626266364
cg26233468,chr1:155145786,83.2048568725586,0.03925968297482738
cg26985289,chr1:9884622,81.82384884803372,2.643352375973382
cg27012203,chr1:11865920,75.36153411865234,-0.6850018124436251
cg27303880,chr1:64240188,61.172088623046875,0.8989569077113413
cg27478651,chr1:76190428,41.04394868008811,1.8143507686610185
cg00261781,chr2:20212517,81.70511467379525,1.2713911620435547
cg00396163,chr2:84743584,58.2569879736389,0.05140194818565167
cg00567479,chr2:242295999,75.90003967285156,2.3752229571042194
cg00616369,chr2:232329096,79.18724060058594,0.34716274658738816
cg00954003,chr2:85132392,82.33836054623573,3.0898949131744935
cg01615704,chr2:110873396,72.23211378825276,1.880448441436369
cg02237186,chr2:10263043,77.71768188476562,2.5219133598378085
cg03054162,chr2:70485230,81.87989044189453,1.567588709763976
cg03077836,chr2:9347292,85.66744232177734,2.4154254116249323
cg03107405,chr2:3381941,57.80503845214844,2.524368196500639
cg03392046,chr2:37311658,72.83165449870198,0.5959143458046864
cg03856450,chr2:73298881,74.0686264038086,1.8407678050118068
cg04324308,chr2:228028741,53.04221725463867,2.3795135380789376
cg04367351,chr2:160918675,66.32457596167662,1.2180936101927264
cg04496615,chr2:68479620,73.03190359748213,0.756652441598306
cg04532229,chr2:103235411,35.597599638370504,1.2807264373044223
cg04589975,chr2:70418186,84.6130599975586,1.41080600128366
cg04786857,chr2:29033897,80.23053741455078,1.2651881674675256
cg05650565,chr2:136499412,66.0947839256534,-0.2197197726751755
cg05732530,chr2:96811060,73.31890869140625,1.842628858101458
cg05790999,chr2:20850809,81.4898681640625,1.4463550425521672
cg05844583,chr2:228582789,49.786827087402344,2.10806128435231
cg06043190,chr2:42396882,82.39452362060547,4.093430880635451
cg06191203,chr2:152266755,67.33592987060547,2.1717021077195704
cg06552037,chr2:220435838,77.62846374511719,1.379437468664472
cg06625414,chr2:220492692,74.04232630170789,1.9300603335089888
cg06642617,chr2:73461528,71.65857841130207,3.599391227405077
cg06668300,chr2:95691755,31.32067108154297,0.9625002329685827
cg06834261,chr2:203776215,67.5240707397461,1.4320974834169489
cg06869899,chr2:28113326,83.1270909297496,1.6053069166801588
cg07197823,chr2:121103050,70.53893280029297,-0.25345422548971486
cg07310661,chr2:225449833,44.114349365234375,0.6670151822437868
cg07314337,chr2:153574424,46.70209045600416,1.5937798698843275
cg07428089,chr2:176046170,62.50545120239258,3.325496019584406
cg07652213,chr2:48010362,52.61324091504637,1.3325957294074955
cg08229694,chr2:86422197,62.825382232666016,-0.3884089269325775
cg08305742,chr2:88354927,47.56386184692383,1.4577807161009282
cg08460026,chr2:204732474,69.05987917931003,-0.4266584328790981
cg08646988,chr2:69614274,82.38316345214844,0.33230540982121487
cg08974656,chr2:96931567,75.83928981029482,2.809152269055621
cg09266433,chr2:179058698,51.20428943396209,1.75791594498704
cg09288658,chr2:173940639,81.42105184350525,-1.3517548139359548
cg09809242,chr2:122494874,76.24185943603516,0.0467787173292799
cg10140638,chr2:220174207,80.231689453125,2.5926225201909427
cg10660136,chr2:232379107,78.92866516113281,-0.4225173482216275
cg10762132,chr2:113403533,83.30032476106487,3.4388575481827974
cg10773869,chr2:70057052,81.88189697265625,2.6143862366376056
cg10775273,chr2:219857927,69.16667175292969,1.0230679015255995
cg11620807,chr2:227664353,72.43429656754111,3.35692231300796
cg11692477,chr2:190445477,76.1645521130645,1.445916463731218
cg12066181,chr2:25565288,68.77226257324219,1.4708152658843274
cg12393697,chr2:187558983,67.03519439697266,2.7127335347816985
cg12620499,chr2:216877984,78.0997085571289,1.534688661696028
cg12691366,chr2:64681733,63.88381576538086,-0.03223025521042965
cg12815916,chr2:131114432,33.46504310360573,1.6538348096594102
cg12885244,chr2:88355058,47.56386184692383,1.5336774230303631
cg12949975,chr2:20867352,80.5347562680518,0.23109439985653016
cg13051968,chr2:7057649,14.092659966904028,0.0662744976580143
cg13332925,chr2:178257559,67.07189669335573,1.5275240355835153
cg13439299,chr2:27498173,80.2979736328125,0.6208382799883634
cg13539030,chr2:235405968,74.15863800048828,1.6048464033405487
cg14002682,chr2:25195127,69.74246215820312,2.592862425095188
cg14126210,chr2:47142867,83.98685455322266,1.206060942384398
cg14172532,chr2:242447907,78.18104553222656,-0.49978085826866575
cg14383135,chr2:101436923,79.18063354492188,2.3493929104480697
cg14698961,chr2:48667887,48.492210388183594,-1.1887145408755286
cg14934766,chr2:27009384,69.59711598993239,2.8624549242351156
cg15157837,chr2:97482059,70.10478973388672,0.6346132396450571
cg15243024,chr2:27651571,80.01880250012785,1.5601699158399172
cg15319457,chr2:239148132,75.13964080810547,0.4068053770125363
cg16246410,chr2:157189316,42.196580844032496,2.0949645925228784
cg16605590,chr2:122494233,76.2759017944336,2.9839894307275263
cg17178336,chr2:219925246,71.790771484375,0.5024143567884116
cg17189058,chr2:70418126,84.6130599975586,1.5030943140274933
cg17610929,chr2:220379044,80.11444854736328,1.5799430086270387
cg17731079,chr2:37899023,80.37423706054688,2.509374808604531
cg17895873,chr2:73441412,72.64464953415411,0.7451639334560942
cg17918501,chr2:27717709,80.62287902832031,0.05206798677630629
cg18182399,chr2:220283175,81.46601867675781,1.7095178206561494
cg18277754,chr2:30144152,45.595577239990234,1.8974675788386943
cg19001226,chr2:177053345,35.31485765414345,2.366474389279219
cg19210770,chr2:220379091,80.11444854736328,1.4685896346791265
cg19280014,chr2:177134307,34.99403056955694,1.710511610024522
cg19355685,chr2:220071637,77.69807553945337,-0.39358597442094867
cg19461344,chr2:27485922,80.35888671875,1.272129012482893
cg19728485,chr2:11295717,71.96336364746094,0.4658093641298619
cg19886179,chr2:162164993,54.92264938354492,2.227866538826104
cg20091107,chr2:38604853,66.53221130371094,-0.052433771078922886
cg20369763,chr2:27718173,80.62287902832031,1.6281456234548195
cg20449833,chr2:46770299,84.77120208740234,1.7533450591323958
cg20557037,chr2:165698099,38.723060607910156,1.1739432810235684
cg20637307,chr2:213403960,29.760562896728516,4.223116854876655
cg20972416,chr2:220025218,76.13959503173828,-0.16787573612607096
cg21182454,chr2:112656262,68.77469635009766,1.3423811968988375
cg21321735,chr2:241760164,61.210693359375,1.5342840198005177
cg21650900,chr2:235405122,74.11986541748047,0.8679466655932986
cg22085335,chr2:11052081,68.21598815917969,0.9070882748399558
cg22148652,chr2:152684540,39.45587068781294,3.875569020470684
cg22153873,chr2:60781524,36.867852912579394,1.919633368701118
cg22243662,chr2:10862305,70.34566758457859,2.169592142405378
cg22380033,chr2:165477918,20.949382781982422,0.794337736869639
cg22544376,chr2:74154016,81.14996337890625,0.8438481834132966
cg22580372,chr2:120436899,55.069854736328125,2.225608453342236
cg23248865,chr2:97535578,67.58711743057518,1.528892078701998
cg23631636,chr2:217363620,84.85874691627863,2.1880793780163494
cg23905308,chr2:239196947,74.45581817626953,3.2512891106401343
