CpGmarker,chr,pos
cg00105470,chr1,228290868
cg00290506,chr1,224804226
cg00476580,chr1,150207583
cg00565688,chr1,3568212
cg00630164,chr1,41250062
cg00650762,chr1,23037368
cg00712898,chr1,109235208
cg00930078,chr1,224301953
cg00941229,chr1,149982400
cg01419479,chr1,182360822
cg01990334,chr1,42801334
cg02008416,chr1,55445880
cg02397514,chr1,935139
cg02849695,chr1,159869960
cg02850329,chr1,24829455
cg03085637,chr1,145516630
cg03115649,chr1,179851535
cg03152785,chr1,110753723
cg03229887,chr1,45452240
cg03271651,chr1,151431849
cg03716942,chr1,1821981
cg03716999,chr1,6265802
cg03861428,chr1,17380702
cg04185893,chr1,97187305
cg04317543,chr1,156084516
cg04453065,chr1,86046661
cg04564646,chr1,113217655
cg05027081,chr1,91966616
cg05321960,chr1,155904084
cg05436231,chr1,27709789
cg05675373,chr1,110754257
cg06038049,chr1,1259909
cg06240849,chr1,47184738
cg06251129,chr1,155990657
cg06324094,chr1,153950482
cg06377278,chr1,25256369
cg06382459,chr1,2159373
cg06394897,chr1,33502464
cg06449653,chr1,23670777
cg06615861,chr1,10271191
cg06744574,chr1,49242359
cg06752594,chr1,109825964
cg07248310,chr1,60280716
cg07274506,chr1,6614341
cg07387450,chr1,93646168
cg07453618,chr1,3541082
cg07533148,chr1,248020812
cg07536847,chr1,18957232
cg07761912,chr1,179846929
cg07766612,chr1,26372887
cg08080029,chr1,6239970
cg08156349,chr1,156470327
cg08185241,chr1,209848864
cg08460435,chr1,109203610
cg08643928,chr1,178694481
cg08661290,chr1,6674110
cg08755040,chr1,180124539
cg09255666,chr1,200378965
cg09383789,chr1,1051364
cg10074513,chr1,3541656
cg10272885,chr1,153631237
cg10316635,chr1,62208645
cg10409799,chr1,154600487
cg10730174,chr1,170633559
cg10773309,chr1,32229411
cg10892866,chr1,154934115
cg10943191,chr1,1850414
cg11246695,chr1,145576023
cg11376198,chr1,19600730
cg11428724,chr1,18957632
cg11594415,chr1,171454668
cg11666924,chr1,109289079
cg11735358,chr1,111991797
cg12687922,chr1,113257872
cg12688215,chr1,52499228
cg12888039,chr1,202927266
cg12888113,chr1,11107048
cg13249256,chr1,166958581
cg13283942,chr1,153606541
cg13449778,chr1,179712298
cg13514129,chr1,39547527
cg13599025,chr1,91966361
cg13625205,chr1,151584902
cg13697378,chr1,68512845
cg13724813,chr1,9353314
cg13841804,chr1,150207467
cg13904493,chr1,233464194
cg14155482,chr1,151171082
cg14297876,chr1,53704016
cg14455487,chr1,42800860
cg14513226,chr1,212003502
cg14550007,chr1,41707370
cg14550570,chr1,3712988
cg14841875,chr1,116916411
cg15103675,chr1,162531519
cg15311933,chr1,19638897
cg15482690,chr1,11072742
cg15694180,chr1,155023435
cg15955341,chr1,110198890
cg16011258,chr1,16767021
cg16268051,chr1,22379390
cg16382382,chr1,92351047
cg16491909,chr1,154193730
cg16534233,chr1,42846477
cg16582344,chr1,228270207
cg16632891,chr1,54872978
cg16739396,chr1,63249836
cg16743781,chr1,113249654
cg17057965,chr1,224301873
cg17079378,chr1,46713440
cg17257175,chr1,155163542
cg17386433,chr1,28052708
cg17720231,chr1,159915374
cg17829314,chr1,38274017
cg17892328,chr1,182360794
cg18127191,chr1,91966734
cg18335243,chr1,186649519
cg18580491,chr1,36273890
cg18815943,chr1,47882314
cg18825999,chr1,24286530
cg18830459,chr1,33429781
cg19234509,chr1,115124245
cg19452316,chr1,206680966
cg19622360,chr1,236958982
cg19783114,chr1,3569046
cg20345840,chr1,43424417
cg20478514,chr1,246887464
cg20695057,chr1,224034220
cg20767356,chr1,150693100
cg20771670,chr1,201438018
cg20802051,chr1,65613403
cg20913782,chr1,35325533
cg20932765,chr1,115054143
cg21184174,chr1,115881214
cg21319693,chr1,45987459
cg21319745,chr1,38478440
cg21363943,chr1,149899654
cg21421701,chr1,212872679
cg21576698,chr1,46767971
cg22063056,chr1,109505929
cg22063989,chr1,38100795
cg22284302,chr1,53163523
cg22396755,chr1,21995097
cg22429822,chr1,52456361
cg22594309,chr1,202679504
cg22780428,chr1,111682262
cg22857604,chr1,206730695
cg22926560,chr1,207226769
cg22957381,chr1,112532078
cg23002761,chr1,16085642
cg23274123,chr1,229478617
cg23349790,chr1,18434576
cg23391785,chr1,171810972
cg23472215,chr1,110282815
cg23508540,chr1,9884032
cg23687319,chr1,235492074
cg23695504,chr1,247275344
cg23698058,chr1,84544097
cg23779106,chr1,161719820
cg23845507,chr1,91966731
cg23881601,chr1,156698494
cg24305835,chr1,17380585
cg24358529,chr1,40204662
cg24409107,chr1,24127262
cg24450312,chr1,206681158
cg24649713,chr1,2125979
cg24686542,chr1,85155606
cg24744425,chr1,202858153
cg25115460,chr1,3607110
cg25167447,chr1,201617042
cg25568243,chr1,40974465
cg25637824,chr1,54304148
cg25741794,chr1,15736999
cg25885108,chr1,3568669
cg25947945,chr1,201368946
cg26054395,chr1,93545008
cg26233468,chr1,155145786
cg26985289,chr1,9884622
cg27012203,chr1,11865920
cg27303880,chr1,64240188
cg27478651,chr1,76190428
cg00261781,chr2,20212517
cg00396163,chr2,84743584
cg00567479,chr2,242295999
cg00616369,chr2,232329096
cg00954003,chr2,85132392
cg01615704,chr2,110873396
cg02237186,chr2,10263043
cg03054162,chr2,70485230
cg03077836,chr2,9347292
cg03107405,chr2,3381941
cg03392046,chr2,37311658
cg03856450,chr2,73298881
cg04324308,chr2,228028741
cg04367351,chr2,160918675
cg04496615,chr2,68479620
cg04532229,chr2,103235411
cg04589975,chr2,70418186
cg04786857,chr2,29033897
cg05650565,chr2,136499412
cg05732530,chr2,96811060
cg05790999,chr2,20850809
cg05844583,chr2,228582789
cg06043190,chr2,42396882
cg06191203,chr2,152266755
cg06552037,chr2,220435838
cg06625414,chr2,220492692
cg06642617,chr2,73461528
cg06668300,chr2,95691755
cg06834261,chr2,203776215
cg06869899,chr2,28113326
cg07197823,chr2,121103050
cg07310661,chr2,225449833
cg07314337,chr2,153574424
cg07428089,chr2,176046170
cg07652213,chr2,48010362
cg08229694,chr2,86422197
cg08305742,chr2,88354927
cg08460026,chr2,204732474
cg08646988,chr2,69614274
cg08974656,chr2,96931567
cg09266433,chr2,179058698
cg09288658,chr2,173940639
cg09809242,chr2,122494874
cg10140638,chr2,220174207
cg10660136,chr2,232379107
cg10762132,chr2,113403533
cg10773869,chr2,70057052
cg10775273,chr2,219857927
cg11620807,chr2,227664353
cg11692477,chr2,190445477
cg12066181,chr2,25565288
cg12393697,chr2,187558983
cg12620499,chr2,216877984
cg12691366,chr2,64681733
cg12815916,chr2,131114432
cg12885244,chr2,88355058
cg12949975,chr2,20867352
cg13051968,chr2,7057649
cg13332925,chr2,178257559
cg13439299,chr2,27498173
cg13539030,chr2,235405968
cg14002682,chr2,25195127
cg14126210,chr2,47142867
cg14172532,chr2,242447907
cg14383135,chr2,101436923
cg14698961,chr2,48667887
cg14934766,chr2,27009384
cg15157837,chr2,97482059
cg15243024,chr2,27651571
cg15319457,chr2,239148132
cg16246410,chr2,157189316
cg16605590,chr2,122494233
cg17178336,chr2,219925246
cg17189058,chr2,70418126
cg17610929,chr2,220379044
cg17731079,chr2,37899023
cg17895873,chr2,73441412
cg17918501,chr2,27717709
cg18182399,chr2,220283175
cg18277754,chr2,30144152
cg19001226,chr2,177053345
cg19210770,chr2,220379091
cg19280014,chr2,177134307
cg19355685,chr2,220071637
cg19461344,chr2,27485922
cg19728485,chr2,11295717
cg19886179,chr2,162164993
cg20091107,chr2,38604853
cg20369763,chr2,27718173
cg20449833,chr2,46770299
cg20557037,chr2,165698099
cg20637307,chr2,213403960
cg20972416,chr2,220025218
cg21182454,chr2,112656262
cg21321735,chr2,241760164
cg21650900,chr2,235405122
cg22085335,chr2,11052081
cg22148652,chr2,152684540
cg22153873,chr2,60781524
cg22243662,chr2,10862305
cg22380033,chr2,165477918
cg22544376,chr2,74154016
cg22580372,chr2,120436899
cg23248865,chr2,97535578
cg23631636,chr2,217363620
cg23905308,chr2,239196947
cg24053619,chr2,61293272
cg24076392,chr2,48667874
cg24127874,chr2,239149859
cg24767315,chr2,241525811
cg24890043,chr2,135476297
cg25596297,chr2,223162875
cg25856179,chr2,191878705
cg25903497,chr2,219157103
cg25908985,chr2,219925065
cg26102760,chr2,242088848
cg26900034,chr2,88355166
cg00201234,chr3,13590968
cg00522034,chr3,105587721
cg01216369,chr3,172859022
cg02164046,chr3,187388148
cg02699167,chr3,33319024
cg03159785,chr3,170075773
cg03438904,chr3,197518158
cg04228553,chr3,15247818
cg04428853,chr3,52931532
