CpGmarker,chr:coord_hg19,EZH2_ENCFF516PTT
cg00105470,chr1:228290868,0.5625557689149481
cg00290506,chr1:224804226,2.6498872133859077
cg00476580,chr1:150207583,0.6659254193900529
cg00565688,chr1:3568212,23.17050430126618
cg00630164,chr1:41250062,3.0896049830087104
cg00650762,chr1:23037368,0.0
cg00712898,chr1:109235208,0.4330099274095454
cg00930078,chr1:224301953,0.8894091792534712
cg00941229,chr1:149982400,10.102031523450057
cg01419479,chr1:182360822,1.2524579489914853
cg01990334,chr1:42801334,1.33328115880638
cg02008416,chr1:55445880,2.1568560050312717
cg02397514,chr1:935139,11.536314863219225
cg02849695,chr1:159869960,0.45538277102824753
cg02850329,chr1:24829455,0.0
cg03085637,chr1:145516630,0.29644964817456176
cg03115649,chr1:179851535,0.5856114955168412
cg03152785,chr1:110753723,3.721475340184428
cg03229887,chr1:45452240,1.0468767112181372
cg03271651,chr1:151431849,0.7413564385321372
cg03716942,chr1:1821981,0.30858903261194204
cg03716999,chr1:6265802,1.6947637059147518
cg03861428,chr1:17380702,0.16112555879309884
cg04185893,chr1:97187305,0.8044858357852831
cg04317543,chr1:156084516,7.426363137594779
cg04453065,chr1:86046661,4.665158789651352
cg04564646,chr1:113217655,0.6561169621355813
cg05027081,chr1:91966616,0.44435745002028354
cg05321960,chr1:155904084,0.17803471567030263
cg05436231,chr1:27709789,0.3932756569022847
cg05675373,chr1:110754257,4.277102334243699
cg06038049,chr1:1259909,0.5710477513862667
cg06240849,chr1:47184738,0.738633506687502
cg06251129,chr1:155990657,0.38149622283374285
cg06324094,chr1:153950482,0.19770369416757713
cg06377278,chr1:25256369,0.4918810546844083
cg06382459,chr1:2159373,0.0
cg06394897,chr1:33502464,0.185080848429863
cg06449653,chr1:23670777,1.3249231232074727
cg06615861,chr1:10271191,0.40743897539421803
cg06744574,chr1:49242359,0.41139658371409277
cg06752594,chr1:109825964,0.5453143375472832
cg07248310,chr1:60280716,0.7314867275462781
cg07274506,chr1:6614341,0.3188343274028521
cg07387450,chr1:93646168,0.11355833036643906
cg07453618,chr1:3541082,0.5964144359057086
cg07533148,chr1:248020812,1.2698051925757876
cg07536847,chr1:18957232,2.287665666784729
cg07761912,chr1:179846929,0.09273875198162107
cg07766612,chr1:26372887,1.5681345114981444
cg08080029,chr1:6239970,1.0528535911269914
cg08156349,chr1:156470327,0.07249401558069814
cg08185241,chr1:209848864,0.8946338619971811
cg08460435,chr1:109203610,0.8170057398422698
cg08643928,chr1:178694481,0.2568742918254729
cg08661290,chr1:6674110,0.3181079646892976
cg08755040,chr1:180124539,0.39977141709399044
cg09255666,chr1:200378965,0.34531821299372173
cg09383789,chr1:1051364,0.3101882643235889
cg10074513,chr1:3541656,0.49506040582633076
cg10272885,chr1:153631237,1.3482113443407928
cg10316635,chr1:62208645,1.808561911309449
cg10409799,chr1:154600487,0.6471885487325768
cg10730174,chr1:170633559,3.3083667404336525
cg10773309,chr1:32229411,9.922057772515123
cg10892866,chr1:154934115,0.6987696565000197
cg10943191,chr1:1850414,1.3200685740111773
cg11246695,chr1:145576023,3.3293797812259704
cg11376198,chr1:19600730,0.5906732348432565
cg11428724,chr1:18957632,2.64263242408819
cg11594415,chr1:171454668,0.39976157013912156
cg11666924,chr1:109289079,0.7509397615369716
cg11735358,chr1:111991797,0.5372341927001602
cg12687922,chr1:113257872,0.6147460792575988
cg12688215,chr1:52499228,0.6231619978040234
cg12888039,chr1:202927266,0.2572829642349348
cg12888113,chr1:11107048,0.30961943683481574
cg13249256,chr1:166958581,0.3907044037916417
cg13283942,chr1:153606541,0.367303267046995
cg13449778,chr1:179712298,1.6771368429696472
cg13514129,chr1:39547527,4.811364685210801
cg13599025,chr1:91966361,0.37193189661699044
cg13625205,chr1:151584902,0.6822265474279028
cg13697378,chr1:68512845,0.2458985485786809
cg13724813,chr1:9353314,0.42427296813883986
cg13841804,chr1:150207467,1.5608864413235253
cg13904493,chr1:233464194,1.4743254994810966
cg14155482,chr1:151171082,0.36761051579901105
cg14297876,chr1:53704016,0.9184317348009333
cg14455487,chr1:42800860,1.1326698320464899
cg14513226,chr1:212003502,0.0
cg14550007,chr1:41707370,0.08105244548838038
cg14550570,chr1:3712988,1.331873095540929
cg14841875,chr1:116916411,0.4311984529221742
cg15103675,chr1:162531519,1.122082370995286
cg15311933,chr1:19638897,0.4358234959944823
cg15482690,chr1:11072742,0.8236520661974785
cg15694180,chr1:155023435,0.5423930926513196
cg15955341,chr1:110198890,0.35440902411937714
cg16011258,chr1:16767021,0.2604813501424623
cg16268051,chr1:22379390,0.16936683468985142
cg16382382,chr1:92351047,4.450992242356488
cg16491909,chr1:154193730,0.8502346563368961
cg16534233,chr1:42846477,2.0948263094609514
cg16582344,chr1:228270207,0.2370125475964344
cg16632891,chr1:54872978,0.31818204382411264
cg16739396,chr1:63249836,0.7371793526440784
cg16743781,chr1:113249654,0.07556680855608343
cg17057965,chr1:224301873,1.0048814919821343
