CpGmarker,CoefficientTraining,CoefficientTrainingShrunk,varByCpG,minByCpG,maxByCpG,medianByCpG,medianByCpGYoung,medianByCpGOld,Gene_ID,GenomeBuild,Chr,MapInfo,SourceVersion,TSS_Coordinate,Gene_Strand,Symbol,Synonym,Accession,GID,Annotation,Product,Marginal Age Relationship,chr.coord_hg19,H3K27ac,H3K4me3,H3K36me3,H3K27me3,H3K9ac,H3K4me1,H3K9me3,RNF2,EZH2,RNA,Replication_timing,LaminB1,Gene_body,CGI,Shore,Shelf,ChrHMM_state,ChrHMM_state_reann
cg00075967,0.12933661,0.108096063,0.026,0.016,0.97,0.75,0.72,0.75,64220,36,15,72282407,36.1,72282245,-,STRA6,PP14296; FLJ12541;,NM_022369.2,GI:21314699,synonyms: PP14296; FLJ12541,stimulated by retinoic acid gene 6 homolog,positive,chr15:74495354,-0.628321205430349,-0.750848267193375,0.0388056037369547,0.419245285738915,-0.83063632507108,-0.420019928435952,0.657487505494997,0.317193790478332,0.422428017122834,-0.439261680600165,77.4845659251225,1.48161921077772,Yes,No,No,No,16,Weak enhancer
cg00091693,-0.002008493,NA,0.0067,0.15,0.9,0.7,0.7,0.69,54474,36,17,36295128,36.1,36295005,-,KRT20,K20; CK20; KRT21; MGC35423;,NM_019010.1,GI:27894336,cytokeratin 20; keratin; type I cytoskeletal 20; go_component: intermediate filament; go_function: structural constituent of cytoskeleton; go_process: biological process unknown,keratin 20,negative,chr17:39041602,-0.893797923355669,-0.619564221995792,-0.444040241410558,0.585821813396829,-0.76125510616465,-0.778987279448586,0.432387561906358,0.400693007507631,-0.225044325926353,-0.428393973721974,73.7494720687295,0.585621351183812,No,No,No,No,24,Repressed polycomb
cg00168942,-0.111945219,NA,0.022,0.0012,0.94,0.59,0.62,0.56,219770,36,10,35934436,36.1,35934344,+,CX40.1,FLJ90023; RP11-425A6.2;,NM_153368.1,GI:23503308,go_component: connexon complex; go_component: integral to membrane; go_function: connexon channel activity; go_process: cell communication,connexin40.1,negative,chr10:35894430,-0.77723363379672,-0.941338175808236,-0.316913746174471,0.589727919273152,-0.913608888537585,-0.844330736661377,0.199265377224352,0.670981230998269,-0.133439992048483,-0.439261680600165,61.7861455218156,1.6457472572699,Yes,No,No,Yes,23,Bivalent promoter
cg00374717,0.005017857,NA,0.012,0.0031,1,0.89,0.87,0.9,22901,36,17,63814740,36.1,63815191,+,ARSG,KIAA1001;,NM_014960.2,GI:45430056,go_function: hydrolase activity; go_function: calcium ion binding; go_function: sulfuric ester hydrolase activity; go_process: metabolism,Arylsulfatase G,positive,chr17:66303145,-0.796236004457278,-0.865501475581162,0.459434614821253,-0.698229371698663,-0.876268259730056,-0.864932725357694,-0.485062036655263,0.382323484034946,0.680753068205069,0.460354853175859,63.9686317443848,0.0957613044631871,Yes,No,No,No,25,Quiescent/low
cg00431549,-0.136199957,-0.350739715,0.032,0,0.98,0.26,0.31,0.22,4256,36,12,14930292,36.1,14930095,-,MGP,NTI; GIG36; MGLAP;,NM_000900.2,GI:49574513,###############################################################################################################################################################################################################################################################,matrix Gla protein,negative,chr12:15039025,-0.830089302567064,-0.856111258665764,-0.124582675473568,0.366291831334956,-0.787185352423093,-0.111063492253448,-0.349588759155019,-0.139204259563662,-0.605600210517759,-0.415948311400376,38.5430488586426,0.683297536910631,Yes,No,No,No,17,Weak enhancer
cg00436603,0.000265206,NA,0.018,0.023,0.99,0.72,0.75,0.7,1571,36,10,135190730,36.1,135190857,+,CYP2E1,CPE1; CYP2E; P450-J; P450C2E;,NM_000773.3,GI:75709190,###############################################################################################################################################################################################################################################################,cytochrome P450; family 2; subfamily E; polypeptide 1,negative,chr10:135340740,-0.955109129185801,-0.514384579835832,-0.335202748501637,2.47660312541679,-0.858507768117452,-0.912171887908218,0.760180264703942,-0.691922959105812,-0.445666956784869,-0.361702905218027,54.4927177429199,2.28935234702805,Yes,No,Yes,No,24,Repressed polycomb
cg00864867,1.59976405,1.863968574,0.00087,0,0.58,0.049,0.045,0.053,5074,36,12,78609399,36.1,78608921,-,PAWR,PAR4; Par-4;,NM_002583.2,GI:55769532,###############################################################################################################################################################################################################################################################,PRKC; apoptosis; WT1; regulator,positive,chr12:80085268,-0.553408766255008,-0.295514900368553,0.384454285714091,1.27118002643155,-0.409967933975871,0.365563636668613,0.4224817484058,-1.21415691084953,1.19132754755599,-0.383492963955522,74.5351715087891,-0.681678740781561,No,No,Yes,No,2,Promoter
cg00945507,0.056852418,NA,0.016,0,0.96,0.24,0.23,0.25,23480,36,7,54795171,36.1,54794433,-,SEC61G,SSS1;,NM_014302.3,GI:60279263,###############################################################################################################################################################################################################################################################,Sec61 gamma subunit,positive,chr7:54827677,-0.423171079895735,-0.501955727994655,-0.50226121311686,-0.40758262635834,-0.726206379362379,0.464607042619322,0.839273219264551,-0.0166809353365348,-0.496891775321149,-0.296839671767893,74.355054403481,-0.0379527104591543,No,No,Yes,No,2,Promoter
cg01027739,0.102862854,NA,0.011,0,0.99,0.071,0.067,0.074,57171,36,9,130882559,36.1,130883227,+,DOLPP1,LSFR2;,NM_020438.3,GI:48976059,###############################################################################################################################################################################################################################################################,dolichyl pyrophosphate phosphatase 1,positive,chr9:131842738,-0.443111203459176,-0.00234492563704325,-0.114057092565173,-0.693529987866515,-0.217505538420904,0.345633694907342,-0.319743439899919,-0.471515406214702,-0.304830761647866,-0.419642557742483,83.5766372680664,2.8678497532453,No,No,Yes,No,2,Promoter
cg01027805,-0.167672796,-0.301922411,0.00033,0.012,0.23,0.069,0.068,0.069,51222,36,14,20636703,36.1,20636639,-,ZNF219,ZFP219;,NM_016423.1,GI:7705974,###############################################################################################################################################################################################################################################################,zinc finger protein 219,negative,chr14:21566863,-0.17356935089023,-0.193359243137678,-0.742070477898586,-0.484390406446446,0.0834954048695358,-0.284855618137041,-0.771855243888517,-0.429655880574013,1.46856717524788,-0.428742201405788,60.0784187316895,1.32151583407628,Yes,No,Yes,No,1,Active TSS
